Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
shopee pay yg apa baik,shopee baik,shopee baik,"['shopee', 'baik']",['shopee'],shopee,0,neutral
"satu dulu bintangnya dr saya khusu spy klw untuk aplikasi shopee ok,klw untuk shopeepay,baru coba pijaman 1x sudah kaget liat bunganya pinjam 300 untuk 3x cicilan total bayar 432.572 ngeri lebih besar dari bank ekok padahal byar selalu lebih awal sebelom jayuh tempo,kaget sy ..thnk's",satu dulu bintangnya saya khusu untuk aplikasi shopee okklw untuk shopeepaybaru coba pijaman sudah kaget liat bunganya pinjam untuk cicilan total bayar  ngeri lebih besar dari bank ekok padahal byar selalu lebih awal sebelom jayuh tempokaget thnks,satu dulu bintangnya saya khusu untuk aplikasi shopee okklw untuk shopeepaybaru coba pijaman sudah kaget lihat bunganya pinjam untuk cicilan total bayar ngeri lebih besar dari bank ekok padahal byar selalu lebih awal sebelom jayuh tempokaget thnks,"['satu', 'dulu', 'bintangnya', 'saya', 'khusu', 'untuk', 'aplikasi', 'shopee', 'okklw', 'untuk', 'shopeepaybaru', 'coba', 'pijaman', 'sudah', 'kaget', 'lihat', 'bunganya', 'pinjam', 'untuk', 'cicilan', 'total', 'bayar', 'ngeri', 'lebih', 'besar', 'dari', 'bank', 'ekok', 'padahal', 'byar', 'selalu', 'lebih', 'awal', 'sebelom', 'jayuh', 'tempokaget', 'thnks']","['bintangnya', 'khusu', 'aplikasi', 'shopee', 'okklw', 'shopeepaybaru', 'coba', 'pijaman', 'kaget', 'lihat', 'bunganya', 'pinjam', 'cicilan', 'total', 'bayar', 'ngeri', 'bank', 'ekok', 'byar', 'sebelom', 'jayuh', 'tempokaget', 'thnks']",bintang khusu aplikasi shopee okklw shopeepaybaru coba pijaman kaget lihat bunga pinjam cicil total bayar ngeri bank ekok byar bom jayuh tempokaget thnks,5,positive
shopee pay keren is the best,shopee keren best,shopee keren best,"['shopee', 'keren', 'best']","['shopee', 'keren', 'best']",shopee keren best,0,neutral
mempermudah transaksi dan menguntungkan km,mempermudah transaksi menguntungkan,mempermudah transaksi menguntungkan,"['mempermudah', 'transaksi', 'menguntungkan']","['mempermudah', 'transaksi', 'menguntungkan']",mudah transaksi untung,11,positive
sangat bermanfaat pake sopy dan harga sangat terjangkau,sangat bermanfaat pake sopy harga sangat terjangkau,sangat bermanfaat pakai sopy harga sangat terjangkau,"['sangat', 'bermanfaat', 'pakai', 'sopy', 'harga', 'sangat', 'terjangkau']","['bermanfaat', 'pakai', 'sopy', 'harga', 'terjangkau']",manfaat pakai sopy harga jangkau,8,positive
smoga amanah,smoga amanah,semoga amanah,"['semoga', 'amanah']","['semoga', 'amanah']",moga amanah,6,positive
bagus dpt membantu,bagus membantu,bagus membantu,"['bagus', 'membantu']","['bagus', 'membantu']",bagus bantu,5,positive
Diamond Gratis ff,diamond gratis,diamond gratis,"['diamond', 'gratis']","['diamond', 'gratis']",diamond gratis,7,positive
sangat membantu sekali..,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",['membantu'],bantu,3,positive
okkk,okkk,okkk,['okkk'],['okkk'],okkk,0,neutral
aplikasi bagus.keren,aplikasi baguskeren,aplikasi baguskeren,"['aplikasi', 'baguskeren']","['aplikasi', 'baguskeren']",aplikasi baguskeren,-4,negative
mantappppp,mantappppp,mantappppp,['mantappppp'],['mantappppp'],mantappppp,0,neutral
mantap shopeepay sangat membantu saya,mantap shopeepay sangat membantu saya,mantap shopeepay sangat membantu saya,"['mantap', 'shopeepay', 'sangat', 'membantu', 'saya']","['mantap', 'shopeepay', 'membantu']",mantap shopeepay bantu,8,positive
sangat bagus👍,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,2,positive
Aplikasi bagus bekerja dengan sempurna,aplikasi bagus bekerja dengan sempurna,aplikasi bagus bekerja dengan sempurna,"['aplikasi', 'bagus', 'bekerja', 'dengan', 'sempurna']","['aplikasi', 'bagus', 'sempurna']",aplikasi bagus sempurna,1,positive
tingkatkan koinnya lebih banyak agar sering2 berbelanja,tingkatkan koinnya lebih banyak agar sering berbelanja,tingkatkan koinnya lebih banyak agar sering berbelanja,"['tingkatkan', 'koinnya', 'lebih', 'banyak', 'agar', 'sering', 'berbelanja']","['tingkatkan', 'koinnya', 'berbelanja']",tingkat koin belanja,3,positive
Memudahkan segala cara pembayaran.,memudahkan segala cara pembayaran,memudahkan segala cara pembayaran,"['memudahkan', 'segala', 'cara', 'pembayaran']","['memudahkan', 'pembayaran']",mudah bayar,5,positive
"katanya gratis tranfer, buktinya saya tranfer e walet di gigit juga hadeh hadeh",katanya gratis tranfer buktinya saya tranfer walet gigit juga hadeh hadeh,katanya gratis tranfer buktinya saya tranfer walet gigit juga hadeh hadeh,"['katanya', 'gratis', 'tranfer', 'buktinya', 'saya', 'tranfer', 'walet', 'gigit', 'juga', 'hadeh', 'hadeh']","['gratis', 'tranfer', 'buktinya', 'tranfer', 'walet', 'gigit', 'hadeh', 'hadeh']",gratis tranfer bukti tranfer walet gigit hadeh hadeh,-9,negative
"pesan makan di sini malah voucher nya gak terpakai, alhasil jadi mahal bayar makan nya",pesan makan sini malah voucher terpakai alhasil jadi mahal bayar makan,pesan makan sini malah voucher terpakai alhasil jadi mahal bayar makan,"['pesan', 'makan', 'sini', 'malah', 'voucher', 'terpakai', 'alhasil', 'jadi', 'mahal', 'bayar', 'makan']","['pesan', 'makan', 'voucher', 'terpakai', 'alhasil', 'mahal', 'bayar', 'makan']",pesan makan voucher pakai alhasil mahal bayar makan,9,positive
"mudah , cepat",mudah cepat,mudah cepat,"['mudah', 'cepat']","['mudah', 'cepat']",mudah cepat,7,positive
sangat direkomendasikan sebagai aplikasi untuk berbelanja segala kebutuhan harian dengan promo menarik yang selalu hadir dan memberikan solusi atas segala kebutuhan dan keinginan kita,sangat direkomendasikan sebagai aplikasi untuk berbelanja segala kebutuhan harian dengan promo menarik yang selalu hadir memberikan solusi atas segala kebutuhan keinginan kita,sangat direkomendasikan sebagai aplikasi untuk berbelanja segala kebutuhan harian dengan promo menarik yang selalu hadir memberikan solusi atas segala kebutuhan keinginan kita,"['sangat', 'direkomendasikan', 'sebagai', 'aplikasi', 'untuk', 'berbelanja', 'segala', 'kebutuhan', 'harian', 'dengan', 'promo', 'menarik', 'yang', 'selalu', 'hadir', 'memberikan', 'solusi', 'atas', 'segala', 'kebutuhan', 'keinginan', 'kita']","['direkomendasikan', 'aplikasi', 'berbelanja', 'kebutuhan', 'harian', 'promo', 'menarik', 'hadir', 'solusi', 'kebutuhan']",rekomendasi aplikasi belanja butuh hari promo tarik hadir solusi butuh,-2,negative
mantap gampang buat bayar bayar bayar.....,mantap gampang buat bayar bayar bayar,mantap gampang buat bayar bayar bayar,"['mantap', 'gampang', 'buat', 'bayar', 'bayar', 'bayar']","['mantap', 'gampang', 'bayar', 'bayar', 'bayar']",mantap gampang bayar bayar bayar,12,positive
Shopee memang mantap 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍✌👍✌👍✌✌,shopee memang mantap,shopee memang mantap,"['shopee', 'memang', 'mantap']","['shopee', 'mantap']",shopee mantap,5,positive
cukup handal,cukup handal,cukup handal,"['cukup', 'handal']",['handal'],handal,0,neutral
bagus lancar dan cepat,bagus lancar cepat,bagus lancar cepat,"['bagus', 'lancar', 'cepat']","['bagus', 'lancar', 'cepat']",bagus lancar cepat,9,positive
Masa gabisa transfer ke ewalet lainnn? Stress,masa gabisa transfer ewalet lainnn stress,masa tidak bisa transfer ewalet lain stres,"['masa', 'tidak', 'bisa', 'transfer', 'ewalet', 'lain', 'stres']","['transfer', 'ewalet', 'stres']",transfer ewalet stres,-4,negative
aplikasi bagus dan mudah di pakai,aplikasi bagus mudah pakai,aplikasi bagus mudah pakai,"['aplikasi', 'bagus', 'mudah', 'pakai']","['aplikasi', 'bagus', 'mudah', 'pakai']",aplikasi bagus mudah pakai,2,positive
bagus shoope,bagus shoope,bagus shoope,"['bagus', 'shoope']","['bagus', 'shoope']",bagus shoope,2,positive
"saya pesan makanan di shopee memilih pembayaran menggunakan shopee pay. lalu driver tidak datang and pesanannya dibatalkan, tetapi uang saya tidak kembali. memang ada notifikasi pengembalian dana, tetapi beribu kali saya cek dana tidak kembali. sudah coba saya cari tau lewat google dll, suruh tunggu 24jm dsb. namun sudah lewat dari situ dana ttp tdk kembali. jdi tolong diperbaiki, ada notif masa dananya tidak ada wujud pengembalian",saya pesan makanan shopee memilih pembayaran menggunakan shopee lalu driver tidak datang pesanannya dibatalkan tetapi uang saya tidak kembali memang notifikasi pengembalian dana tetapi beribu kali saya dana tidak kembali sudah coba saya cari lewat google suruh tunggu jm namun sudah lewat dari situ dana kembali tolong diperbaiki notif masa dananya tidak wujud pengembalian,saya pesan makanan shopee memilih pembayaran menggunakan shopee lalu driver tidak datang pesanannya dibatalkan tetapi uang saya tidak kembali memang notifikasi pengembalian dana tetapi beribu kali saya dana tidak kembali sudah coba saya cari lewat google suruh tunggu jm namun sudah lewat dari situ dana kembali tolong diperbaiki notif masa dananya tidak wujud pengembalian,"['saya', 'pesan', 'makanan', 'shopee', 'memilih', 'pembayaran', 'menggunakan', 'shopee', 'lalu', 'driver', 'tidak', 'datang', 'pesanannya', 'dibatalkan', 'tetapi', 'uang', 'saya', 'tidak', 'kembali', 'memang', 'notifikasi', 'pengembalian', 'dana', 'tetapi', 'beribu', 'kali', 'saya', 'dana', 'tidak', 'kembali', 'sudah', 'coba', 'saya', 'cari', 'lewat', 'google', 'suruh', 'tunggu', 'jm', 'namun', 'sudah', 'lewat', 'dari', 'situ', 'dana', 'kembali', 'tolong', 'diperbaiki', 'notif', 'masa', 'dananya', 'tidak', 'wujud', 'pengembalian']","['pesan', 'makanan', 'shopee', 'memilih', 'pembayaran', 'shopee', 'driver', 'pesanannya', 'dibatalkan', 'uang', 'notifikasi', 'pengembalian', 'dana', 'beribu', 'kali', 'dana', 'coba', 'cari', 'google', 'suruh', 'tunggu', 'jm', 'situ', 'dana', 'tolong', 'diperbaiki', 'notif', 'dananya', 'wujud', 'pengembalian']",pesan makan shopee pilih bayar shopee driver pesan batal uang notifikasi kembali dana ibu kali dana coba cari google suruh tunggu jm situ dana tolong baik notif dana wujud kembali,21,positive
"apk sangat keren, mudah di mengerti",sangat keren mudah mengerti,sangat keren mudah mengerti,"['sangat', 'keren', 'mudah', 'mengerti']","['keren', 'mudah', 'mengerti']",keren mudah erti,6,positive
assalamualaikum teman-teman. segeralah kalian download shopeepay karna ada promo menarik dan ada random code untuk free fire,assalamualaikum temanteman segeralah kalian download shopeepay karna promo menarik random code untuk free fire,assalamualaikum temanteman segeralah kalian download shopeepay karena promo menarik random code untuk free fire,"['assalamualaikum', 'temanteman', 'segeralah', 'kalian', 'download', 'shopeepay', 'karena', 'promo', 'menarik', 'random', 'code', 'untuk', 'free', 'fire']","['assalamualaikum', 'temanteman', 'segeralah', 'download', 'shopeepay', 'promo', 'menarik', 'random', 'code', 'free', 'fire']",assalamualaikum temanteman segera download shopeepay promo tarik random code free fire,10,positive
kaga bagus jir Uda login tapi pas mau login kembali kaga bisa,kaga bagus login tapi login kembali kaga bisa,kagak bagus login tapi login kembali kagak bisa,"['kagak', 'bagus', 'login', 'tapi', 'login', 'kembali', 'kagak', 'bisa']","['kagak', 'bagus', 'login', 'login', 'kagak']",kagak bagus login login kagak,-4,negative
eror,eror,eror,['eror'],['eror'],eror,-4,negative
"aplikasi ngaco,masa minta kode otp lewat SMS aja ga di kirim-kirim.",aplikasi ngacomasa minta kode lewat kirimkirim,aplikasi ngacomasa meminta kode lewat kirimkirim,"['aplikasi', 'ngacomasa', 'meminta', 'kode', 'lewat', 'kirimkirim']","['aplikasi', 'ngacomasa', 'kode', 'kirimkirim']",aplikasi ngacomasa kode kirimkirim,-7,negative
males banget ya ngirim uang dari Shopee pay ke ewalet dana tapi gak masuk masuk udah 1 jam nunggu tetep gak masuk masuk padahal uang mau kepake karna lagi butuh banget ehh malah dapet kendala kek gitu lagi,males banget ngirim uang dari shopee ewalet dana tapi masuk masuk udah nunggu tetep masuk masuk padahal uang kepake karna lagi butuh banget malah dapet kendala gitu lagi,malas banget mengirim uang dari shopee ewalet dana tapi masuk masuk sudah menunggu tetap masuk masuk padahal uang kepake karena lagi butuh banget malah dapat kendala begitu lagi,"['malas', 'banget', 'mengirim', 'uang', 'dari', 'shopee', 'ewalet', 'dana', 'tapi', 'masuk', 'masuk', 'sudah', 'menunggu', 'tetap', 'masuk', 'masuk', 'padahal', 'uang', 'kepake', 'karena', 'lagi', 'butuh', 'banget', 'malah', 'dapat', 'kendala', 'begitu', 'lagi']","['malas', 'banget', 'mengirim', 'uang', 'shopee', 'ewalet', 'dana', 'masuk', 'masuk', 'menunggu', 'masuk', 'masuk', 'uang', 'kepake', 'butuh', 'banget', 'kendala']",malas banget kirim uang shopee ewalet dana masuk masuk tunggu masuk masuk uang kepake butuh banget kendala,-12,negative
sooner digital yg sangat mudah untuk segala transaksi,sooner digital sangat mudah untuk segala transaksi,sooner digital sangat mudah untuk segala transaksi,"['sooner', 'digital', 'sangat', 'mudah', 'untuk', 'segala', 'transaksi']","['sooner', 'digital', 'mudah', 'transaksi']",sooner digital mudah transaksi,8,positive
berguna banget untuk mempermudah transaksi melalui shopee,berguna banget untuk mempermudah transaksi melalui shopee,berguna banget untuk mempermudah transaksi melalui shopee,"['berguna', 'banget', 'untuk', 'mempermudah', 'transaksi', 'melalui', 'shopee']","['berguna', 'banget', 'mempermudah', 'transaksi', 'shopee']",guna banget mudah transaksi shopee,10,positive
aplikasi yang mudah untuk di pakai tanpa adanya kendala,aplikasi yang mudah untuk pakai tanpa adanya kendala,aplikasi yang mudah untuk pakai tanpa adanya kendala,"['aplikasi', 'yang', 'mudah', 'untuk', 'pakai', 'tanpa', 'adanya', 'kendala']","['aplikasi', 'mudah', 'pakai', 'kendala']",aplikasi mudah pakai kendala,0,neutral
trimksh shopeepay beli pulsa 10 rb cm byr 1rb..happy bgt.,trimksh shopeepay beli pulsa rbhappy,trimksh shopeepay beli pulsa rbhappy,"['trimksh', 'shopeepay', 'beli', 'pulsa', 'rbhappy']","['trimksh', 'shopeepay', 'beli', 'pulsa', 'rbhappy']",trimksh shopeepay beli pulsa rbhappy,-1,negative
belanja lebih gampang,belanja lebih gampang,belanja lebih gampang,"['belanja', 'lebih', 'gampang']","['belanja', 'gampang']",belanja gampang,6,positive
"gimana si kok bug pas mau login malah stak layar putih????, tolong dong diperbaiki!!",gimana login malah stak layar putih tolong dong diperbaiki,bagaimana login malah stak layar putih tolong dong diperbaiki,"['bagaimana', 'login', 'malah', 'stak', 'layar', 'putih', 'tolong', 'dong', 'diperbaiki']","['login', 'stak', 'layar', 'putih', 'tolong', 'diperbaiki']",login stak layar putih tolong baik,2,positive
baguss selalu cepat buat bayar bayar apa aja harga selalu lebih murah bayar pake Shopee pay,baguss selalu cepat buat bayar bayar harga selalu lebih murah bayar pake shopee,bagus selalu cepat buat bayar bayar harga selalu lebih murah bayar pakai shopee,"['bagus', 'selalu', 'cepat', 'buat', 'bayar', 'bayar', 'harga', 'selalu', 'lebih', 'murah', 'bayar', 'pakai', 'shopee']","['bagus', 'cepat', 'bayar', 'bayar', 'harga', 'murah', 'bayar', 'pakai', 'shopee']",bagus cepat bayar bayar harga murah bayar pakai shopee,14,positive
belanja lebih mudah dan lebih murah,belanja lebih mudah lebih murah,belanja lebih mudah lebih murah,"['belanja', 'lebih', 'mudah', 'lebih', 'murah']","['belanja', 'mudah', 'murah']",belanja mudah murah,9,positive
shopeepay emang bener2 thebest gratis transfer transaksi aman mudah dan cepat,shopeepay emang bener thebest gratis transfer transaksi aman mudah cepat,shopeepay memang benar thebest gratis transfer transaksi aman mudah cepat,"['shopeepay', 'memang', 'benar', 'thebest', 'gratis', 'transfer', 'transaksi', 'aman', 'mudah', 'cepat']","['shopeepay', 'thebest', 'gratis', 'transfer', 'transaksi', 'aman', 'mudah', 'cepat']",shopeepay thebest gratis transfer transaksi aman mudah cepat,15,positive
saya tidak bisa masuk,saya tidak bisa masuk,saya tidak bisa masuk,"['saya', 'tidak', 'bisa', 'masuk']",['masuk'],masuk,-3,negative
sering mengalami kendala transper. setelah komplain tindakan lama oleh merkaa,sering mengalami kendala transper setelah komplain tindakan lama oleh merkaa,sering mengalami kendala transper setelah komplain tindakan lama oleh merkaa,"['sering', 'mengalami', 'kendala', 'transper', 'setelah', 'komplain', 'tindakan', 'lama', 'oleh', 'merkaa']","['mengalami', 'kendala', 'transper', 'komplain', 'tindakan', 'merkaa']",alami kendala transper komplain tindak merkaa,-3,negative
aplikasi SOP.pay emang bgs bgt terf ADMI ya kecil mantap,aplikasi soppay emang terf admi kecil mantap,aplikasi soppay memang terf admi kecil mantap,"['aplikasi', 'soppay', 'memang', 'terf', 'admi', 'kecil', 'mantap']","['aplikasi', 'soppay', 'terf', 'admi', 'mantap']",aplikasi soppay terf admi mantap,1,positive
parah gak bisa transfer ke bank lain. Selalu gagal terus. percuma ada saldo gak bisa dikirim ke orang lain.,parah bisa transfer bank lain selalu gagal terus percuma saldo bisa dikirim orang lain,parah bisa transfer bank lain selalu gagal terus percuma saldo bisa dikirim orang lain,"['parah', 'bisa', 'transfer', 'bank', 'lain', 'selalu', 'gagal', 'terus', 'percuma', 'saldo', 'bisa', 'dikirim', 'orang', 'lain']","['parah', 'transfer', 'bank', 'gagal', 'saldo', 'dikirim', 'orang']",parah transfer bank gagal saldo kirim orang,-5,negative
bagus cepat mnyenagkan,bagus cepat mnyenagkan,bagus cepat mnyenagkan,"['bagus', 'cepat', 'mnyenagkan']","['bagus', 'cepat', 'mnyenagkan']",bagus cepat mnyenagkan,5,positive
Sangat membantu..synk. nya blm di ksih limite pinjaman,sangat membantusynk ksih limite pinjaman,sangat membantusynk kasih limite pinjaman,"['sangat', 'membantusynk', 'kasih', 'limite', 'pinjaman']","['membantusynk', 'kasih', 'limite', 'pinjaman']",membantusynk kasih limite pinjam,2,positive
aplikasi mudah dan cepat,aplikasi mudah cepat,aplikasi mudah cepat,"['aplikasi', 'mudah', 'cepat']","['aplikasi', 'mudah', 'cepat']",aplikasi mudah cepat,3,positive
memudahkan segala urusan pembayaran,memudahkan segala urusan pembayaran,memudahkan segala urusan pembayaran,"['memudahkan', 'segala', 'urusan', 'pembayaran']","['memudahkan', 'urusan', 'pembayaran']",mudah urus bayar,5,positive
bagus dan pengiriman barang juga cepat,bagus pengiriman barang juga cepat,bagus pengiriman barang juga cepat,"['bagus', 'pengiriman', 'barang', 'juga', 'cepat']","['bagus', 'pengiriman', 'barang', 'cepat']",bagus kirim barang cepat,7,positive
"Tolong perbaiki aplikasinya, developer!!!, harusnya setelah user klik verifikasi email aplikasi secara ofomatis masuk bukannya malah diam dan mengirim ulang, aplikasi sangat buruk",tolong perbaiki aplikasinya developer harusnya setelah user klik verifikasi email aplikasi secara ofomatis masuk bukannya malah diam mengirim ulang aplikasi sangat buruk,tolong perbaiki aplikasinya developer harusnya setelah user klik verifikasi email aplikasi secara ofomatis masuk bukannya malah diam mengirim ulang aplikasi sangat buruk,"['tolong', 'perbaiki', 'aplikasinya', 'developer', 'harusnya', 'setelah', 'user', 'klik', 'verifikasi', 'email', 'aplikasi', 'secara', 'ofomatis', 'masuk', 'bukannya', 'malah', 'diam', 'mengirim', 'ulang', 'aplikasi', 'sangat', 'buruk']","['tolong', 'perbaiki', 'aplikasinya', 'developer', 'user', 'klik', 'verifikasi', 'email', 'aplikasi', 'ofomatis', 'masuk', 'diam', 'mengirim', 'ulang', 'aplikasi', 'buruk']",tolong baik aplikasi developer user klik verifikasi email aplikasi ofomatis masuk diam kirim ulang aplikasi buruk,-11,negative
sangat membantu dengan gratis transfernya hingga sekian kali,sangat membantu dengan gratis transfernya hingga sekian kali,sangat membantu dengan gratis transfernya hingga sekian kali,"['sangat', 'membantu', 'dengan', 'gratis', 'transfernya', 'hingga', 'sekian', 'kali']","['membantu', 'gratis', 'transfernya', 'sekian', 'kali']",bantu gratis transfer sekian kali,7,positive
barang bagus dan harga terjangkau,barang bagus harga terjangkau,barang bagus harga terjangkau,"['barang', 'bagus', 'harga', 'terjangkau']","['barang', 'bagus', 'harga', 'terjangkau']",barang bagus harga jangkau,5,positive
bagus ....,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
"makin spinjam repotasi bagus diperlama pinjamanny .. malah jd beban konsumen yg ingn dana cepat.. PT lentera cantumkan no ditlp kgk aktif kocak , layanan shoppe chat ,, tidak ngebantu sama sekali .. bunga mahal 1thn 50% mati dibuatnya .. kecewa berat saat cair udh cukup saya tidak akan mengenal anda lgi ,, xtraplus jg apaan kgk ad gunany bunga2 bisa buat anda mati bayarnya .. bunga kgk ngotak ,, sampai terjebak , dan 10hari sebelum jatuh tempo diWA diingatkan pdhl masih lama pmbyrannya,kacau!",makin spinjam repotasi bagus diperlama pinjamanny malah beban konsumen ingn dana cepat lentera cantumkan ditlp aktif kocak layanan shoppe chat tidak ngebantu sama sekali bunga mahal thn mati dibuatnya kecewa berat saat cair cukup saya tidak akan mengenal anda xtraplus apaan gunany bunga bisa buat anda mati bayarnya bunga ngotak sampai terjebak hari sebelum jatuh tempo diwa diingatkan pdhl masih lama pmbyrannyakacau,makin spinjam repotasi bagus diperlama pinjamanny malah beban konsumen ingn dana cepat lentera cantumkan ditlp aktif kocak layanan shoppe chat tidak membantu sama sekali bunga mahal tahun mati dibuatnya kecewa berat saat cair cukup saya tidak akan mengenal anda xtraplus apaan gunany bunga bisa buat anda mati bayarnya bunga ngotak sampai terjebak hari sebelum jatuh tempo diwa diingatkan padahal masih lama pmbyrannyakacau,"['makin', 'spinjam', 'repotasi', 'bagus', 'diperlama', 'pinjamanny', 'malah', 'beban', 'konsumen', 'ingn', 'dana', 'cepat', 'lentera', 'cantumkan', 'ditlp', 'aktif', 'kocak', 'layanan', 'shoppe', 'chat', 'tidak', 'membantu', 'sama', 'sekali', 'bunga', 'mahal', 'tahun', 'mati', 'dibuatnya', 'kecewa', 'berat', 'saat', 'cair', 'cukup', 'saya', 'tidak', 'akan', 'mengenal', 'anda', 'xtraplus', 'apaan', 'gunany', 'bunga', 'bisa', 'buat', 'anda', 'mati', 'bayarnya', 'bunga', 'ngotak', 'sampai', 'terjebak', 'hari', 'sebelum', 'jatuh', 'tempo', 'diwa', 'diingatkan', 'padahal', 'masih', 'lama', 'pmbyrannyakacau']","['spinjam', 'repotasi', 'bagus', 'diperlama', 'pinjamanny', 'beban', 'konsumen', 'ingn', 'dana', 'cepat', 'lentera', 'cantumkan', 'ditlp', 'aktif', 'kocak', 'layanan', 'shoppe', 'chat', 'membantu', 'bunga', 'mahal', 'mati', 'kecewa', 'berat', 'cair', 'mengenal', 'xtraplus', 'gunany', 'bunga', 'mati', 'bayarnya', 'bunga', 'ngotak', 'terjebak', 'jatuh', 'tempo', 'diwa', 'pmbyrannyakacau']",spinjam repotasi bagus lama pinjamanny beban konsumen ingn dana cepat lentera cantum ditlp aktif kocak layan shoppe chat bantu bunga mahal mati kecewa berat cair kenal xtraplus gunany bunga mati bayar bunga ngotak jebak jatuh tempo diwa pmbyrannyakacau,39,positive
sangat mudah d gunakan...,sangat mudah gunakan,sangat mudah gunakan,"['sangat', 'mudah', 'gunakan']",['mudah'],mudah,4,positive
amanah,amanah,amanah,['amanah'],['amanah'],amanah,5,positive
mudah untuk transaksi nya lalu banyak voucher promo,mudah untuk transaksi lalu banyak voucher promo,mudah untuk transaksi lalu banyak voucher promo,"['mudah', 'untuk', 'transaksi', 'lalu', 'banyak', 'voucher', 'promo']","['mudah', 'transaksi', 'voucher', 'promo']",mudah transaksi voucher promo,14,positive
CACAT,cacat,cacat,['cacat'],['cacat'],cacat,-5,negative
udah downlod gk dapt 50 ribu.,udah downlod dapt ribu,sudah downlod dapt ribu,"['sudah', 'downlod', 'dapt', 'ribu']","['downlod', 'dapt', 'ribu']",downlod dapt ribu,0,neutral
sangat membantu dalam hal apa saja .,sangat membantu dalam saja,sangat membantu dalam saja,"['sangat', 'membantu', 'dalam', 'saja']",['membantu'],bantu,3,positive
Not recommended mau ikut war pulsa aja error yg bener napa lu min kerja dan setiap update lemot,recommended ikut pulsa error bener napa kerja setiap update lemot,recommended ikut pulsa error benar kenapa kerja setiap update lemot,"['recommended', 'ikut', 'pulsa', 'error', 'benar', 'kenapa', 'kerja', 'setiap', 'update', 'lemot']","['recommended', 'pulsa', 'error', 'kerja', 'update', 'lemot']",recommended pulsa error kerja update lot,-11,negative
"keren .,., lebih mudah pembayarannya",keren lebih mudah pembayarannya,keren lebih mudah pembayarannya,"['keren', 'lebih', 'mudah', 'pembayarannya']","['keren', 'mudah', 'pembayarannya']",keren mudah bayar,5,positive
aplikasi E-wallet paling sampah,aplikasi ewallet paling sampah,aplikasi ewallet paling sampah,"['aplikasi', 'ewallet', 'paling', 'sampah']","['aplikasi', 'ewallet', 'sampah']",aplikasi ewallet sampah,-8,negative
susah mendaftarnya,susah mendaftarnya,susah mendaftarnya,"['susah', 'mendaftarnya']","['susah', 'mendaftarnya']",susah daftar,-2,negative
matap,matap,matap,['matap'],['matap'],matap,0,neutral
sagatbaik,sagatbaik,sagatbaik,['sagatbaik'],['sagatbaik'],sagatbaik,0,neutral
mudah dipakai,mudah dipakai,mudah dipakai,"['mudah', 'dipakai']","['mudah', 'dipakai']",mudah pakai,4,positive
shopepayletter belanja makin mudah..good,shopepayletter belanja makin mudahgood,shopepayletter belanja makin mudahgood,"['shopepayletter', 'belanja', 'makin', 'mudahgood']","['shopepayletter', 'belanja', 'mudahgood']",shopepayletter belanja mudahgood,2,positive
sangat. membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,3,positive
gagal transaksi terus,gagal transaksi terus,gagal transaksi terus,"['gagal', 'transaksi', 'terus']","['gagal', 'transaksi']",gagal transaksi,0,neutral
"terimakasih shopee saya belanja tiap bulan rekomendasi Tampa bunga dari segala macam,macam dari ekstronik token listrik dan lain2nya, apa lagi 12-12 1bln sampai 6bln Tampa bunga,the best shopee,semoga tambah maju kedepannya. buat teman teman aku sarankan segeralah bergabung di shopee 🙏🙏🙏🙏🙏🙏👍👍👍👍",terimakasih shopee saya belanja tiap bulan rekomendasi tampa bunga dari segala macammacam dari ekstronik token listrik lainnya lagi  bln sampai bln tampa bungathe best shopeesemoga tambah maju kedepannya buat teman teman sarankan segeralah bergabung shopee,terimakasih shopee saya belanja tiap bulan rekomendasi tampa bunga dari segala macammacam dari ekstronik token listrik lainnya lagi bulan sampai bulan tampa bungathe best shopeesemoga tambah maju kedepannya buat teman teman sarankan segeralah bergabung shopee,"['terimakasih', 'shopee', 'saya', 'belanja', 'tiap', 'bulan', 'rekomendasi', 'tampa', 'bunga', 'dari', 'segala', 'macammacam', 'dari', 'ekstronik', 'token', 'listrik', 'lainnya', 'lagi', 'bulan', 'sampai', 'bulan', 'tampa', 'bungathe', 'best', 'shopeesemoga', 'tambah', 'maju', 'kedepannya', 'buat', 'teman', 'teman', 'sarankan', 'segeralah', 'bergabung', 'shopee']","['terimakasih', 'shopee', 'belanja', 'rekomendasi', 'tampa', 'bunga', 'macammacam', 'ekstronik', 'token', 'listrik', 'tampa', 'bungathe', 'best', 'shopeesemoga', 'maju', 'kedepannya', 'teman', 'teman', 'sarankan', 'segeralah', 'bergabung', 'shopee']",terimakasih shopee belanja rekomendasi tampa bunga macammacam ekstronik token listrik tampa bungathe best shopeesemoga maju depan teman teman saran segera gabung shopee,10,positive
