Review text,teks_bersih
sangat bagus apk ini,sangat bagus
bagus aku suka,bagus suka
"sengaja di beri bintang 5 supaya dibaca. saya Udah topup saldo tapi ngak nambah2, terus mau transaksi ngak bisa dari kemarin jadi repot ini",sengaja beri bintang supaya dibaca saya Udah topup saldo tapi ngak nambah2 terus transaksi ngak bisa dari kemarin jadi repot
min tolong min kenapa saya gak bisa paksi dana cicil,tolong kenapa saya bisa paksi dana cicil
sangat baik👍😇,sangat baik
"makin kesini makin kurang nyaman sama potongan biaya top up 1.500, harusnya langsung dikenakan saja pas transaksi top up, jangan potong saldo. :)",makin kesini makin kurang nyaman sama potongan biaya 1500 harusnya langsung dikenakan saja transaksi jangan potong saldo
malas,malas
emng klo bayar qris merchant dana kena biaya ya ? masa setiap bayar ke qris bacaan merchant menggunakan dana kena biaya 500-1000,emng bayar qris merchant dana kena biaya masa setiap bayar qris bacaan merchant menggunakan dana kena biaya 5001000
bagus jugk,bagus jugk
GK bisa buka dana cicil nya padahal udh ada fitur nya. gimna sih perbaiki dong,bisa buka dana cicil padahal fitur gimna perbaiki dong
"Saya kecewa dengan apk dana, orang lain sudah banyak fitur2 baru seperti dana cicil, tapi saya yg sudah lma menggunakan apk dana tidak ada fitur2 seperti itu di dana saya, tolong perbaiki",Saya kecewa dengan dana orang lain sudah banyak fitur2 baru seperti dana cicil tapi saya sudah menggunakan dana tidak fitur2 seperti dana saya tolong perbaiki
Aplikasi nya membantu..cm di hp oppo f1f saya gak bisa login,Aplikasi membantucm oppo saya bisa login
terlalu notifikasi play store utk minta rating,terlalu notifikasi play store minta rating
tlong dongs knpaa akun saya gak ada dana pinjam,tlong dongs knpaa akun saya dana pinjam
kenapa tetep Gak bisa masuk akun saya ke dana segala cara di pakai biar bisa masuk lagi akun tetap gak bisa tolong donk gimana sih ini,kenapa tetep bisa masuk akun saya dana segala cara pakai biar bisa masuk lagi akun tetap bisa tolong donk gimana
sudah aktif,sudah aktif
tenaga kerja sebagai driver,tenaga kerja sebagai driver
makin Parah ...cek detail kagak pernah keluar...MUTAR MUTER...KAGAK JELAS......APLIKASI BIKIN EMOSI ben HARI,makin Parah detail kagak pernah keluarMUTAR MUTERKAGAK JELASAPLIKASI BIKIN EMOSI HARI
mantul bgt,mantul
Dengan adanya apk.Dana TF jadi lebih mudah dan gratis biaya TF,Dengan adanya apkDana jadi lebih mudah gratis biaya
saya ingin mempunyai dana cicil,saya ingin mempunyai dana cicil
tolong proses kan dana instan Saya,tolong proses dana instan Saya
bermanfaat transaksi lebih mudah,bermanfaat transaksi lebih mudah
"ini app kacau banget yg belum install jangan deh, skrg udah ga bisa diinstal ulang dan saldo saya sebelumnya tidak bisa digunakan dengan alasan transaksi melebihi batas, smp sekarang blum bisa install, ini aoo scam atau apa sih? tolong diperhatikan woi, jangan merugikan rakyat !!!",kacau banget belum install jangan skrg udah bisa diinstal ulang saldo saya sebelumnya tidak bisa digunakan dengan alasan transaksi melebihi batas sekarang blum bisa install scam atau tolong diperhatikan jangan merugikan rakyat
halo ka kenapa dana cicil saya limit ya sudah ada tetapi tidak bisa digunakan sedangkan saya sudah tidak ada tugakan saat beli pulsa megunakan fitur dana cicil tidak bisa atau.fitur bayar SEDANG TIDAK ADA. tolong di bantu di proses udah 6 bulan saya nugu fitur ya aktif kembali sampe saat ini masih blum bisa di gunakan. tolong di respon dan di acc,halo kenapa dana cicil saya limit sudah tetapi tidak bisa digunakan sedangkan saya sudah tidak tugakan saat beli pulsa megunakan fitur dana cicil tidak bisa ataufitur bayar SEDANG TIDAK tolong bantu proses udah bulan saya nugu fitur aktif kembali sampe saat masih blum bisa gunakan tolong respon
"sangat membantu sekali dalam bertransaksi, tetapi saya tidak bisa melihat bukti laporan transaksi",sangat membantu sekali dalam bertransaksi tetapi saya tidak bisa melihat bukti laporan transaksi
info saldo gratis,info saldo gratis
mudah digunakan dan sangat praktis,mudah digunakan sangat praktis
gratisin lagi dong via alfamart kok ada biaya admin lah gk enak dana sekarang jelek banget enak aplikasi tetangga,gratisin lagi dong alfamart biaya admin enak dana sekarang jelek banget enak aplikasi tetangga
sangar amanah,sangar amanah
tlg dbntu fitur dana instan di.aplikasi dana sy kok GK ad,dbntu fitur dana instan diaplikasi dana
Alhamdulillah memudah kan saya membayar apa saja,Alhamdulillah memudah saya membayar saja
sangat bagus untuk menyimpan uang,sangat bagus untuk menyimpan uang
kenapa limit dana cicil tidak bisa di gunakan,kenapa limit dana cicil tidak bisa gunakan
aplikasi yang sudah tidak aman lagi. mudah diheker. sampe uang hilang segala. baru aja uang 1jtaan lebih bisa hilang. akun dana log out. macam apa ini keamananya sudah tidak terjamin. males bngt aku,aplikasi yang sudah tidak aman lagi mudah diheker sampe uang hilang segala baru uang 1jtaan lebih bisa hilang akun dana macam keamananya sudah tidak terjamin males bngt
good job 😇,good
mengaktivasi danacicil,mengaktivasi danacicil
bagus banget.. tapi sayang nya saldi di dana goals kasual ngk bisa di tarik,bagus banget tapi sayang saldi dana goals kasual bisa tarik
apk bagus sangat membantu,bagus sangat membantu
akun dana ini nggak jelas.. kawan lain nya muncul.. DANA CICIL nya..ko kenapa aku saya ngak muncul..,akun dana nggak jelas kawan lain muncul DANA CICIL nyako kenapa saya ngak muncul
"aplikasi gak jelas,sering nge bug.mau beli token listrik selalu stock habis.Mending pakai aplikasi lain.gak jelas ne aplikasi",aplikasi jelassering bugmau beli token listrik selalu stock habisMending pakai aplikasi laingak jelas aplikasi
dana cicil saya tidak muncul,dana cicil saya tidak muncul
lemih mudah,lemih mudah
lancar,lancar
minjam uang lewat dana,minjam uang lewat dana
dana ga jelas masa duit tiap hari kepotong ga jelass duit ilang trus di dana,dana jelas masa duit tiap hari kepotong jelass duit ilang trus dana
apk nya berat,berat
aplikasi gak jelas masa tf ke bank saldo macet dan gak balik,aplikasi jelas masa bank saldo macet balik
kenapa di akun dana saya tidak ada dana cicil? padahal sudah premium,kenapa akun dana saya tidak dana cicil padahal sudah premium
"Kok punya saya gk ada fitur dana cicil ya, padahal pengguna lama n udah premium. apa harus punya dana bisnis?",punya saya fitur dana cicil padahal pengguna lama udah premium harus punya dana bisnis
kenapa dana cicil saya tidak tersedia gak bisa di pakek,kenapa dana cicil saya tidak tersedia bisa pakek
luar biasa transfer mudah dan cepat 👍👍👍,luar biasa transfer mudah cepat
nomer gw tidak aktif mau ganti malah di suruh foto minimal 20mb aplikasih paa ini,nomer tidak aktif ganti malah suruh foto minimal 20mb aplikasih
sekira nya kalo ngasih fitur dana cicil yang ikhlas dong kalo ga bisa di pake mending buang aja daripada di munculin tapi ga bisa di gunain Limitnya!!! mending hapus kalo sekira nya gabisa di pake Limitnya!!! sampah aja,sekira kalo ngasih fitur dana cicil yang ikhlas dong kalo bisa pake mending buang daripada munculin tapi bisa gunain Limitnya mending hapus kalo sekira gabisa pake Limitnya sampah
"tolong bantuannya kak saya udah bisa login TPI kok saldo di rekening saya berkurang parah banget ,tolong bantuannya kak",tolong bantuannya saya udah bisa login saldo rekening saya berkurang parah banget tolong bantuannya
tidak dapat mengakses akun dana karena no yg terdaftar sudah tidak aktif.. payah dana,tidak dapat mengakses akun dana karena terdaftar sudah tidak aktif payah dana
makasi Dana,makasi Dana
sangat berguna banget aplikasi DANA ini puas banget aku sama aplikasi satu ini. makasih kak udah sering bantu?,sangat berguna banget aplikasi DANA puas banget sama aplikasi satu makasih udah sering bantu
"aplikasi yang sangat bagus,mempermudah transaksi dimana pun dan kapan pun,pokonya good lah👍🏼",aplikasi yang sangat bagusmempermudah transaksi dimana kapan punpokonya good
sangat baik dan cepat aman di guna untuk menabung,sangat baik cepat aman guna untuk menabung
membantu dengan sangat mudah,membantu dengan sangat mudah
"terima transfer pun kena potongan 1000 rupiah, gilaaa....semakin parah kalau aplikasi dana ini di pakai buat transaksi pembayaran, setiap yang bayar dari dana ke dana, di potong 100 rp sekarang mah, transaksi jadi tidak sah menurut ajaran islam, karena pembayaran tidak sesuai transaksi pembelian..",terima transfer kena potongan 1000 rupiah gilaaasemakin parah kalau aplikasi dana pakai buat transaksi pembayaran setiap yang bayar dari dana dana potong sekarang transaksi jadi tidak menurut ajaran islam karena pembayaran tidak sesuai transaksi pembelian
padahal pengguna dana sudah lama tapi fitur dana cicil belum ada juga di akun dana saya,padahal pengguna dana sudah lama tapi fitur dana cicil belum juga akun dana saya
Fitur mantep pokoknya,Fitur mantep pokoknya
sangat memuaskan hati,sangat memuaskan hati
"Balekan akun ku woy. Pelayanan lambat, akun ku ga bisa dibuka data udah dikirim semua. Balekan akun ku",Balekan akun Pelayanan lambat akun bisa dibuka data udah dikirim semua Balekan akun
"saya tiap hari pakai dana dan saya tidak pernah dapat dana cicil, app tidak bagus bagus di hapus ni app ya ,",saya tiap hari pakai dana saya tidak pernah dapat dana cicil tidak bagus bagus hapus
trmksh sudah banyak membantu saya,trmksh sudah banyak membantu saya
"aplikasi dana ini tidak kalah bagus dari aplikasi transfer uang lainnya, dimn proses yang begitu cepat dan aman walaupun terkadang ada gangguan tapi cuman sebentar",aplikasi dana tidak kalah bagus dari aplikasi transfer uang lainnya dimn proses yang begitu cepat aman walaupun terkadang gangguan tapi cuman sebentar
mantap 👍🏻👍🏻,mantap
banyak bug kayak aplikasi gak ke urus !!!!,banyak kayak aplikasi urus
sengaja kasi bintang5 karna akun yang pake nomor lama saya ada uang 190k dan saya ingin mengubah akun lama ke akun baru karna nomor lama hilang dari pihak dana terlalu lama merespon uang gak bisa di tarik dari akun lama ke akun yang baru tolong dari pihak dana kembalikan uang saya 190k mungkin bagi anda itu kecil tapi bagi saya itu berharga,sengaja kasi bintang5 karna akun yang pake nomor lama saya uang 190k saya ingin mengubah akun lama akun baru karna nomor lama hilang dari pihak dana terlalu lama merespon uang bisa tarik dari akun lama akun yang baru tolong dari pihak dana kembalikan uang saya 190k mungkin bagi anda kecil tapi bagi saya berharga
"mntap dan terpercaya,,dana cicil lllllll",mntap terpercayadana cicil lllllll
"Tidak Dapat Login Di Handphone Ram2Gb(Redmi4X), Setiap Memasukkan Nomor Handphone Selalu Kembali Ke Menu Input Nomor Lagi,Mohon Di Perbaiki Lagi.",Tidak Dapat Login Handphone Ram2GbRedmi4X Setiap Memasukkan Nomor Handphone Selalu Kembali Menu Input Nomor LagiMohon Perbaiki Lagi
"mohon maaf saya kasih ranting1 soalnya fitur dana cicil saya nggak berlaku padahal masih ada limit 100k, mohon di bantu dengan kendala saya, udah aku cht diana di apk tapi tetap nggak bisa",mohon maaf saya kasih ranting1 soalnya fitur dana cicil saya nggak berlaku padahal masih limit 100k mohon bantu dengan kendala saya udah diana tapi tetap nggak bisa
tidak bisa pakai dana cicil,tidak bisa pakai dana cicil
dana cicil tidak berfungsi,dana cicil tidak berfungsi
tolong buka untuk dana cicil. atau pinjamannya,tolong buka untuk dana cicil atau pinjamannya
wow keren,keren
aman sekali dan terbaik,aman sekali terbaik
bikin qrissusah ny gampangan di apl sebelah.. udah toko jualan ga bisa konter masih ga bisa,bikin qrissusah gampangan sebelah udah toko jualan bisa konter masih bisa
Dana cicil aktif,Dana cicil aktif
"saldo dana saya tiba tiba kesedot oleh tiktok bagaimana caranya agar dana saya kembali,ga ikhlas ga rido",saldo dana saya tiba tiba kesedot oleh tiktok bagaimana caranya agar dana saya kembaliga ikhlas rido
"saya belum mendapatkan fitur dana cicil,,tolong bantuannya biar saya punya fitur dana cicil",saya belum mendapatkan fitur dana ciciltolong bantuannya biar saya punya fitur dana cicil
saya ingin dana pinjama,saya ingin dana pinjama
udah limit cuma 100 rb.. GA GUNA PULA.. GA USAH NGASIH LIMIT KLO CUMA BUAT HIASAN DOANG..,udah limit cuma GUNA PULA USAH NGASIH LIMIT CUMA BUAT HIASAN DOANG
Ok sangat membantu,sangat membantu
punya ku knp GK ada dana cicil Ny padahal sering transaksi gmna ini,punya dana cicil padahal sering transaksi gmna
bagus lancar gak nunggu lama,bagus lancar nunggu lama
"bikin nyesal karna kode otp bikin sulit karna no HP daho nya hilang jDi gx bisa log in seakan di akun dana masih ada saldo , dana bikin kecewa",bikin nyesal karna kode bikin sulit karna daho hilang bisa seakan akun dana masih saldo dana bikin kecewa
"saya kasi bintang 1 karna saya sangat kecewa atas ketiidaknyamananya karna saldo saya tiba"" kepotong karna transaksi padahal saya tidak melakukan transaksi dan sya tidak tau apakah bisa saldo saya kembali atau tidak .",saya kasi bintang karna saya sangat kecewa atas ketiidaknyamananya karna saldo saya tiba kepotong karna transaksi padahal saya tidak melakukan transaksi tidak apakah bisa saldo saya kembali atau tidak
"kenapa akun saya gak bertambah saldo y,padahal temen saya udh kirim uang jumlah y 550 ribu dgn statua berhasil,tetapi di saldo dana saya mlh gk bertambah dan tidak ada notivikasih y,chat castemer sdh diana sudah tapi masih aja gk bertambah udh 4 hari ini gk masuk saldo y",kenapa akun saya bertambah saldo ypadahal temen saya kirim uang jumlah ribu statua berhasiltetapi saldo dana saya bertambah tidak notivikasih ychat castemer diana sudah tapi masih bertambah hari masuk saldo
sangat membantu👌👌👍👍,sangat membantu
Dana cicil saya tidak ada fitu nya aneh sedangkan di akun lain ada,Dana cicil saya tidak fitu aneh sedangkan akun lain
cepat dan ok,cepat
saya puwas dgn aplikasi,saya puwas aplikasi
sangan bagus dan praktis,sangan bagus praktis
aplikasi pengamanan yang kurang tertib uang ku sering hilang aplikasi tidak bertanggung jawab,aplikasi pengamanan yang kurang tertib uang sering hilang aplikasi tidak bertanggung jawab
apk sangat mendukung,sangat mendukung
"lancar tapi gak ada dana cicil ,,😁😁😁😁",lancar tapi dana cicil
saya sangat tertarik,saya sangat tertarik
agak kecewa akun saya tidak bisa pakai dana cicil padahal akun premium,agak kecewa akun saya tidak bisa pakai dana cicil padahal akun premium
cepet,cepet
aplikasi ini benar benar sangat membantu,aplikasi benar benar sangat membantu
sangat mantap,sangat mantap
sangat mempermudah dan membantu urusan keuangan,sangat mempermudah membantu urusan keuangan
sangat membantu dalam proses dompet buat transaksi pembayaran,sangat membantu dalam proses dompet buat transaksi pembayaran
"susah mw tutup akun satunya, saya mau pakai data di no baru mau tutup akun no lama karna kartu sudah gak ada",susah tutup akun satunya saya pakai data baru tutup akun lama karna kartu sudah
dana cicil saya tidak ada,dana cicil saya tidak
"pakai apk DANa sudah lama dan setiap pengeluaran di akumulasikan 1 bulan itu bisa sampai 10jt tetapi sampai detik ini hari ini blm ada fitur dana cicil maupun dana instan ,,,pakai dana saya sudah 5 tahunan",pakai DANa sudah lama setiap pengeluaran akumulasikan bulan bisa sampai 10jt tetapi sampai detik hari fitur dana cicil maupun dana instan pakai dana saya sudah tahunan
siipppp,siipppp
"sengaja aku kasih bintang 5 ,saya kecewa apk dana saya padahal sudah lama sekali,kenapa gk ada payleter nya",sengaja kasih bintang saya kecewa dana saya padahal sudah lama sekalikenapa payleter
"gimana ini saldo saya tidak kembali,",gimana saldo saya tidak kembali
"mantap, cepat dan sangat praktis.. 🤝👍",mantap cepat sangat praktis
woyyy pepeq ini kenapa gak bisa chek in harian. jadi gak bisa ikut event babi emang nih dev,woyyy pepeq kenapa bisa chek harian jadi bisa ikut event babi emang
"masih heran dan kepikiran, kenapa si akunku dana cicil tidak ada ya, padahal sudah update berkali kali",masih heran kepikiran kenapa akunku dana cicil tidak padahal sudah update berkali kali
Jos,
"saya kasih bintang 5 buat transaksi ok cepat dll,, tapi fikturnya susah di buka udh update gak bisa di buka terus..",saya kasih bintang buat transaksi cepat tapi fikturnya susah buka update bisa buka terus
"saya dari dulu selalu menggunakan dompet digital dari DANA selain proses transaksinya cpt dan simpel dan juga mudah di pergunakan,,harapan saya semoga apk DANA bisa semakin sukses dan jaya selalu🤲🥰",saya dari dulu selalu menggunakan dompet digital dari DANA selain proses transaksinya simpel juga mudah pergunakanharapan saya semoga DANA bisa semakin sukses jaya selalu
"cepat,akurat",cepatakurat
saya mau pakai dana instan,saya pakai dana instan
lumayan sangat membantu,lumayan sangat membantu
good buat melakukan berbagai kebutuhan transaksi,good buat melakukan berbagai kebutuhan transaksi
saya tidak bs kirim uang,saya tidak kirim uang
pengen bisa dana cicil,pengen bisa dana cicil
sengaja ngasih bintang 5 semoga dana cicil saya segera bisa di aktifkan,sengaja ngasih bintang semoga dana cicil saya segera bisa aktifkan
Menyusahkan apabila dipaksa perbarui data secara mendadak dan aplikasi tidak bisa digunakan jika belum update data. Sedangkan pengisian dana tetap berhasil.,Menyusahkan apabila dipaksa perbarui data secara mendadak aplikasi tidak bisa digunakan jika belum update data Sedangkan pengisian dana tetap berhasil
"mau ambil akun dulu yang di hp satunya malah gak bisa malah ada gambar di kira maling ,eh blog ini akunya soalnya udah premium akun pertama juga tolong perbaiki anj",ambil akun dulu yang satunya malah bisa malah gambar kira maling blog akunya soalnya udah premium akun pertama juga tolong perbaiki
sangat membantu sekali gak ada potongan,sangat membantu sekali potongan
kenapa akun saya di tangguh kan di perangkat org lain bisa masuk perangkat saya kok di tangguh kan,kenapa akun saya tangguh perangkat lain bisa masuk perangkat saya tangguh
saya mau ngirim uang di tolak alasan keamanan jijik gua,saya ngirim uang tolak alasan keamanan jijik
Yess sangat membantu,Yess sangat membantu
nomor rekening kok tdk muncul,nomor rekening muncul
nice terbaik. tapi aku mau vitur dana cicil.nya di munculkan di danaku🥺🙏,nice terbaik tapi vitur dana cicilnya munculkan danaku
tolong kasih dana cicil nya,tolong kasih dana cicil
"Tolong scepatny perbaiki fitur bayar/smartpay di aplikasi dana versi terbaru tidak bisa digunakan atau buka karena suka bug/eror pada aplikasi dana ubah total sistem & tampilan luar dalamny menjadi lebih gagah modern banget seperti tap-to pay kirim/terima uang sesama kesemua dompet digital antar bank pesan langsung berbasis teknisi digital super ai yang lebih canggi banget desain kartu debit virtual yng lebih kekinian/modern pnggialn suara/vidio yg lbih tinggi bnget hd+10, fhd+11, uhd+12, qhd+13",Tolong scepatny perbaiki fitur bayarsmartpay aplikasi dana versi terbaru tidak bisa digunakan atau buka karena suka bugeror pada aplikasi dana ubah total sistem tampilan luar dalamny menjadi lebih gagah modern banget seperti tapto kirimterima uang sesama kesemua dompet digital antar bank pesan langsung berbasis teknisi digital super yang lebih canggi banget desain kartu debit virtual lebih kekinianmodern pnggialn suaravidio lbih tinggi bnget hd10 fhd11 uhd12 qhd13
semua se simple itu pake dana,semua simple pake dana
tanpa sepengetahuan pemilik langsung transaksi 😡😡😡,tanpa sepengetahuan pemilik langsung transaksi
admin bisa hidup kan fitur saya di aplikasi dana. dana cicil,admin bisa hidup fitur saya aplikasi dana dana cicil
paling the Best aplikasiNya🥰🙏,paling Best aplikasiNya
aktif kan dana instan,aktif dana instan
aplikasi aman tidak ada potongan,aplikasi aman tidak potongan
tolong kembalikan Saldo Sya,tolong kembalikan Saldo
semoga kedepanya akan baik lagi dan makin sukses,semoga kedepanya akan baik lagi makin sukses
tidak bisa mentransfer,tidak bisa mentransfer
tidak bisa login,tidak bisa login
"semakin sembrono melakukan transaksi tanpa persetujuan dari pemilik, otw uninstall aplikasi dana pindah ke ewalet lain, semakin gak nyaman memakai aplikasi dana, sering melakukan transaksi tanpa persetujuan, tepatnya tanggal 25 Desember 2025 saya tidak melakukan transaksi pembelian pulsa tiba-tiba pihak dana melakukan transaksi tanpa persetujuan dari saya, gimana rasa kenyamanan konsumen sekarang Uda gak ada lagi kenyamanan setelah kejadian seperti ini",semakin sembrono melakukan transaksi tanpa persetujuan dari pemilik uninstall aplikasi dana pindah ewalet lain semakin nyaman memakai aplikasi dana sering melakukan transaksi tanpa persetujuan tepatnya tanggal Desember 2025 saya tidak melakukan transaksi pembelian pulsa tibatiba pihak dana melakukan transaksi tanpa persetujuan dari saya gimana rasa kenyamanan konsumen sekarang lagi kenyamanan setelah kejadian seperti
apliksi jelek padahal sudah ada sandi dan verifikasi wajah itu sudah cukup kuat buat login mlah kode otp. jadi kalau nomer nya sudah gk aktif kasian yang ada saldo nya,apliksi jelek padahal sudah sandi verifikasi wajah sudah cukup kuat buat login mlah kode jadi kalau nomer sudah aktif kasian yang saldo
Mudah Simpel & Gampang Saat transaksi,Mudah Simpel Gampang Saat transaksi
saya ko gk bisa pake dana cicil,saya bisa pake dana cicil
Sudah lama pakai dana tidak ada dana cicil nya di aplikasi bangkai aplikasi tolol,Sudah lama pakai dana tidak dana cicil aplikasi bangkai aplikasi tolol
kenapa ya fitur dana cicil ga muncul padahal pemakaian setiap Hari bahkan sampai limit 40jt,kenapa fitur dana cicil muncul padahal pemakaian setiap Hari bahkan sampai limit 40jt
dompet serba bisa,dompet serba bisa
"untuk saat ini cukup baik,terima kasih.",untuk saat cukup baikterima kasih
kenapa dana saya tidak bisa di bukak... kenapa kembali ke menu lagi. tolong beri ulasannya kak,kenapa dana saya tidak bisa bukak kenapa kembali menu lagi tolong beri ulasannya
kalau bisa di upgrade lagi ke versi terbaru terimakasih,kalau bisa upgrade lagi versi terbaru terimakasih
min mau tnya kenapa dana saya blm di kembalikan terkait untuk pembelian paket yg gagal.,tnya kenapa dana saya kembalikan terkait untuk pembelian paket gagal
Muaaaantap..,Muaaaantap
"mau hapus data ktv di akun dana, karna sudah tidak terpakai",hapus data akun dana karna sudah tidak terpakai
maaf knpa aku buka dana dompet kok ngk bisa masuk login warna hitam ngk bisa buka dana dompet digitalku mohon bantuanya 🤘,maaf knpa buka dana dompet bisa masuk login warna hitam bisa buka dana dompet digitalku mohon bantuanya
bagus dan simple cepat gak ribet pokok e uenak ws punya ap dana,bagus simple cepat ribet pokok uenak punya dana
biasa2 saja,biasa2 saja
sangat sangat membantu,sangat sangat membantu
saya sangat suka sekali permainan macam2,saya sangat suka sekali permainan macam2
good...,good
knpa dana cicil ada tapi tidak bisa di gunakan,knpa dana cicil tapi tidak bisa gunakan
love you,love
kenapa kode verifikasinya tidak di kirim oleh pihak dana?? sinyal aman dan tidak ada masalah dengan emailnya apakah lupa mengirimkan kode verifikasinya???,kenapa kode verifikasinya tidak kirim oleh pihak dana sinyal aman tidak masalah dengan emailnya apakah lupa mengirimkan kode verifikasinya
kedepannya kalo ada yang salah top up/atau tf ke akun dana yang tidak terdaftar bisa di bantu kembalikan uangnya kasihan yang lagi butuh buat bayar sesuatu jadinya gajadi,kedepannya kalo yang salah upatau akun dana yang tidak terdaftar bisa bantu kembalikan uangnya kasihan yang lagi butuh buat bayar sesuatu jadinya gajadi
dibantu akun,dibantu akun
bagus dan sangat membantu sekaLi,bagus sangat membantu sekaLi
tolong di permudah untuk bisa pakai dana cicil lagi,tolong permudah untuk bisa pakai dana cicil lagi
kalau bisa dana cicilnya tida dibekukan,kalau bisa dana cicilnya tida dibekukan
kenapa pas udah di update malah ngebug . tolong di perbaiki,kenapa udah update malah ngebug tolong perbaiki
sangat bagus dan amanah,sangat bagus amanah
Mantap banget,Mantap banget
"bgs,cuma saat uang sudah di pake tidak berubah di saldo,dan sering membuat terkecoh",bgscuma saat uang sudah pake tidak berubah saldodan sering membuat terkecoh
baguss bgt,baguss
dana aplikasi oke cuma mau nanya pa bos utk menu dana cicilan gimana caranya biar muncul,dana aplikasi cuma nanya menu dana cicilan gimana caranya biar muncul
bagus ko,bagus
"tf via dana emang cakep , bagus",dana emang cakep bagus
respon cepat teransaksi lancar,respon cepat teransaksi lancar
sangat baik Terima kasih,sangat baik Terima kasih
terima kasih sangat membantu,terima kasih sangat membantu
kasih fitur celengan perak dong kaya celengan emas,kasih fitur celengan perak dong kaya celengan emas
Coba dulu kak..,Coba dulu
dana bisnis berhasil belum keluar nunggu 3 minggu nanya diana bisnis gak di tanggapi nanya pusat nanya ke diana bisnis,dana bisnis berhasil belum keluar nunggu minggu nanya diana bisnis tanggapi nanya pusat nanya diana bisnis
tolong hapus akun imetools dan refund nya di permudah🙏 kecewa dgn apk dana yg sekarang tiba-tiba ada notifikasi pembayaran dan itu 2x di tgl dan jam yg sama🙏,tolong hapus akun imetools refund permudah kecewa dana sekarang tibatiba notifikasi pembayaran sama
sangat oke,sangat
apalah udh di update masih aja kg ada dana cicil hadeh,apalah update masih dana cicil hadeh
lebih aman,lebih aman
saya butuh dana instan,saya butuh dana instan
mantapppp dan cepat,mantapppp cepat
aflikasi nya sanget berguna,aflikasi sanget berguna
tidak bisa di gunakan,tidak bisa gunakan
"4 bintang dulu, soalnya login nya gagal bae",bintang dulu soalnya login gagal
"tidak bertanggung jawab atas hilangnya uang saya sebesar Rp.370000, kapok pake ini aplikasi",tidak bertanggung jawab atas hilangnya uang saya sebesar Rp370000 kapok pake aplikasi
"transaksi keuangan yg aman mudah,dan fleksibel dari berbagai flatform serta kondisi layanan instan dalam satu aplikasi yang terkoneksi pada jaringan perangkat smartphone",transaksi keuangan aman mudahdan fleksibel dari berbagai flatform serta kondisi layanan instan dalam satu aplikasi yang terkoneksi pada jaringan perangkat smartphone
great for transaksi,great transaksi
"KECEWA ,MAU HAPUS AKUN DANA UDAH BERAPA KALI GABISA GABISA ,ALASAN KEAMANAN APA GAJELAS",KECEWA HAPUS AKUN DANA UDAH BERAPA KALI GABISA GABISA ALASAN KEAMANAN GAJELAS
bagaimana cara melepaskan akun yg terhubung di protexction,bagaimana cara melepaskan akun terhubung protexction
dana cicil saya GK muncul tolong muncul kan,dana cicil saya muncul tolong muncul
tapi lelet,tapi lelet
sangat membantu buat transaksi,sangat membantu buat transaksi
sangat sempurna bos,sangat sempurna
dana cicil saya tidak bisa dibuka,dana cicil saya tidak bisa dibuka
sangat gampang dan nyaman,sangat gampang nyaman
"Setiap buka dana bisnis selalu terjadi kesalahan, udah ku refresh sampe download lagi berkali kali tetep gabisa, padahal dana juga udh premium, padahal aplikasi pembayaran online tapi kok bug masih banyak, kalah sana aplikasi e wallet diluar sana yang transaksi ga dipersulit kayak si dana ini, masa cuma mau buat dabis baru buka aja udah terjadi kesalahan, sampe muak gue jujur padahal qriss itu dibutuhkan buat UMKM kayak gue tapi malah berujung kayak gini, fix dulu lah apk lo sebelum di rilis.",Setiap buka dana bisnis selalu terjadi kesalahan udah refresh sampe download lagi berkali kali tetep gabisa padahal dana juga premium padahal aplikasi pembayaran online tapi masih banyak kalah sana aplikasi wallet diluar sana yang transaksi dipersulit kayak dana masa cuma buat dabis baru buka udah terjadi kesalahan sampe muak jujur padahal qriss dibutuhkan buat UMKM kayak tapi malah berujung kayak gini dulu sebelum rilis
transaksi jadi mudah,transaksi jadi mudah
masa nggak cepat untuk pembayaran,masa nggak cepat untuk pembayaran
"gimana ini min saya sabar karna ngira memang bug tapi sampe sekarang gabisa transfer bikin susah buat ngapa ngapain, gabisa klaim hadiah harian juga hadeh",gimana saya sabar karna ngira memang tapi sampe sekarang gabisa transfer bikin susah buat ngapa ngapain gabisa klaim hadiah harian juga hadeh
salah kirim dana ke orang yang nomernya udah bertahun² ga aktif tapi berhasil,salah kirim dana orang yang nomernya udah bertahun² aktif tapi berhasil
saldo saya di sedot google Play,saldo saya sedot google Play
antap,antap
sangat mmbatu,sangat mmbatu
tiap x minta update minta download makin gak karuan.,tiap minta update minta download makin karuan
"Aplikasi tolol,saldo dikit² ilang",Aplikasi tololsaldo dikit² ilang
"sekali lakai dana coba top up ke shopee pay 100.000 statusnya berhasil dan saldo sudah terpotong,tapi sampai 3 hari saldo tidak masuk shopee pay, hubungi cs dana tapi bot terus yg bales gak berguna, dari shopee minta follow up pihak dana juga tidak di respon via chat bot. kapok dah pakai dana",sekali lakai dana coba shopee 100000 statusnya berhasil saldo sudah terpotongtapi sampai hari saldo tidak masuk shopee hubungi dana tapi terus bales berguna dari shopee minta follow pihak dana juga tidak respon chat kapok pakai dana
di tambah spiker klo uang sdh masuk biar tau klo spiker,tambah spiker uang masuk biar spiker
