steming_data,score,label
brin gempa megathrust katastropic laut selatan jawa sluruh daerah pantai selatan jabar jatim kena tsunami,5,positive
ngebahas kawan titik pusat potensi tsunami pulau jawa gempa megathrust artikel detail,5,positive
potensi tsunami mana tsunami gempa megathrust gtm katastropik amp daerah dampak regional pesisir negara jiran negarakepulauan samudra hindiaaustralia pantai jawa sumatra dampak telukpantai jakarta potensi gtm ltjam,5,positive
arti peta diposting distribusi potensi tsunami warna skenario gempa megathrust grafik bawah distribusi tinggi pantai lanjut info media,17,positive
baca pulau jawa benerbener seram megathrust ngaruh sesar lembang bikin trigger gunung api aktif,5,positive
lapor keluar selidik indonesia selidik temu aktiviti seismik pantai selatan provinsi jawa barat bahagian tenggara pulau sumatera cetus gempa megathrust,9,positive
sunda megathrust patah lembang cimandiri baribis garsela cipamingkis patah gerak ring of fire indah mitigasi bencana,-10,negative
piin moga hindar musibah marabahaya moga megathrust,-3,negative
habis komen megathrust serasa takut wkwk nyebarin isu ya simulasi sih ya siap tangan bencana mitigasi safety kurang korban jiwa dsb,1,positive
bahaya sumber gempa forearc basin daerah palung subduksi pantai gempa rasa darat tempuh tsunami cepat capai pantai ketimbang tsunami bangkit megathrust,13,positive
jarak zona megathrust sumber gempa lumayan bibir pantai jabarbengkulu evakuasi aman tsunami pantai menit ingat bagus masyarakat edukasi,14,positive
sadly zona megathrust selat sunda jakarta ancam tsunami pantai utara jakarta,-3,negative
riset publikasi tangan siap perintah daerah daerah hadap zona megathrust waspada ancam gempa gempa kuat gempa lokasi salah lingkung,13,positive
maksud gempa megathrust potensi mega tsunami,10,positive
rame potensi tsunami megathrust ya,9,positive
pesisir selatan pulau jawa intai potensi tsunami meter resiko tsunami akibat megathrust,4,positive
pesisir selatan pulau jawa intai potensi tsunami meter resiko tsunami akibat megathrust,4,positive
pesisir selatan pulau jawa intai potensi tsunami meter resiko tsunami akibat megathrust,4,positive
sumatera megathrust papua bayang jelekjeleknya tuh megathrust batukbatuk pusing orangorang tinggal gambar wkwkwk,4,positive
potensi tsunami meter intai pesisir selatan jawa barat akibat gempa megathrust pakar itb,7,positive
potensi tsunami meter intai pesisir selatan jawa barat akibat gempa megathrust pakar itb,7,positive
riset main sih orgnya moga langsung galak mitigasi daerah jabodetabek sesar potensi gempa megathrust tsunami pansela,13,positive
brin megathrust selatan jawa,0,neutral
brin tsunami gempa megathrust katastropik dampak tmsk pantura jawa selatantimur sumatra panturabarat australia india kepnegara pantai samudra hindia teluk jakarta gtm gtjam,2,positive
teliti baru temu zona gempa selatan jawa barat tenggara sumatera simpan sumber potensial gempa megathrust kuat iptek adadikompas,9,positive
bmkg gempa banten picu deformasi lempeng megathrustbenioff lengkapcepatberitanya beritaterkini berita news beritanasional,0,neutral
guncang jakarta gempa banten hubung sumber megathrust tempotekno,2,positive
update parameter gempa selatan banten mag dalam asosiasi sumber gempa subduksi lempeng megathrust,14,positive
kepala bidang mitigasi gempabumi tsunami bmkg daryono gempa duga akibat patah slab lempeng zona transisi megathrustbenioff,4,positive
waspada masyarakat zona megathrust,3,positive
julpaa barusan dengar radio rri tawa gempa megathrust apa,3,positive
tau cia berita prediksi cia ya nama pesisir barat tuh zona megathrust potensi magnitudo cmiiw pokok deh kayak aceh lampung,2,positive
megathrust,0,neutral
bmkg sebut kota padang milik potensi gempa bumi tsunami letak pantai barat hadap zona sumber gempa bumi megathrust,12,positive
pesisir sumatera barat satusatunya segmen megathrust rilis energi,6,positive
dwikorita sebut pantai barat sumatera pesisir aceh lampung alami peristiwa gempa rusak energi gempa pantai barat pulau sumatera sisa segmen sumber gempa megathrust mentawaisiberut hadap,15,positive
siaga gagap hadap ancam gempa tsunami kota padang kota milik potensi gempabumi tsunami letak pantai barat hadap zona sumber gempabumi megathrust pakar milik,-2,negative
ahli geologi gempa tapanuli utara gempa kabupaten tapanuli utara sumatera utara hubung ancam gempa megathrust magnitudo zona subduksi pulau siberut tawa,9,positive
parade siaga bencana sumbar bahaya gempa megathrust,-5,negative
bangun gempa megathrust siberut lepas marah titik gempa taput daerah sibolga dampak rusa gempa susul terus,-1,negative
gempa padangpariaman mag sept rusak dasar sumber bangkit megathrust deformasi slab lempeng samudra zona megathrust ahli gempa lempang intraslab earthquake,13,positive
dhani himpun dapat agam saintis kait dapat letak konteks jakarta sumber tsunami megathrust jawa banding krakatau tsunami jakarta dampak minor,7,positive
gempa megathrust tsunami meter selatan jawa mitos teliti,4,positive
gempa magnitudo guncang tawa pagi zona megathrust gempa gempamentawai bmkg,6,positive
gempa zona megathrust acehandaman,4,positive
bmkg gempa magnitudo guncang meksiko zona megathrust,1,positive
bmkg gempa magnitudo guncang meksiko zona megathrust tempotekno,1,positive
gempa guncang meksiko pagi dinihari selasa sep wib lokal pusat darat pantai pasifik meksiko picu deformasi batu zona megathrust subduksi lempeng laut cocos tunjam lempemg amerika utara,9,positive
gempa guncang meksiko pagi dinihari selasa sep wib lokal pusat darat pantai pasifik meksiko picu deformasi batu zona megathrust subduksi lempeng laut cocos tunjam lempemg amerika utara,9,positive
pikir megathrust,1,positive
ikn bro indonesia plan b megathrust gerak big earthquake jakarta hancur perintah lokasi emergency plan kalimantan pilih,-2,negative
teman nanyain mulu megathrust cicil pakai gempa ols,6,positive
bmkg catat rangkai aktivitas gempa tawa zona megathrust,0,neutral
bmkg catat rangkai aktivitas gempa tawa zona megathrust tempotekno,0,neutral
p siberut guncang gempa mag episenter darat siberut kedlmn picu aktivitas subduksi lempeng zona megathrust tawa siberut mekanisme gera rasa sagulubeg ivv mmi padang padang intensitas iii mmi,0,neutral
bmkg gempa susul pulau tawa gempa tawa jenis gempa dangkal akibat aktivitas subduksi lempeng zona megathrust tawa siberut,14,positive
ns tunggu megathrust,1,positive
rentet gempa segmen megathrust mentawaisiberut pekan minggu khawatir picu gempa magnitudo pulau tawa pesisir barat sumatera barat nusantara adadikompas,9,positive
rentet gempa segmen megathrust mentawaisiberut pekan minggu khawatir picu gempa magnitudo pulau tawa pesisir barat sumatera barat nusantara adadikompas,9,positive
rentet gempa segmen megathrust mentawaisiberut pekan minggu khawatir picu gempa magnitudo pulau tawa pesisir barat sumatera barat nusantara adadikompas,9,positive
gempa megathrust tawa tsunami landa kota padang masyarakat kota padang ungsi titik shelter gedung perintah hotel amp masjid raya sumatera barat,3,positive
jenis mekanisme gempabumi perhati lokasi episenter amp dalam hiposenternya gempabumi jenis gempabumi dangkal akibat aktivitas subduksi lempeng zona megathrust tawa siberut,5,positive
rujuk estimasi slip model gempa amp philibosian et al gempa kini tepi sisi utara zona kunci asperity megathrust foreshocks gempa buka tepi zona asperity,11,positive
cermat peristiwa gempa zona megathrust sumatra tawa siberut rilis gempa enggano aceh nias bengkulu pagai data siberut tjd gempa,14,positive
cermat peristiwa gempa zona megathrust sumatra tawa siberut rilis gempa enggano aceh nias bengkulu pagai data siberut tjd gempa,14,positive
pusat laut hasil model gempa bumi potensi gelombang tsunami,16,positive
segmen megathrust tawa simpan potensi gempa imbau bnpb,4,positive
rangkai gempa segmen megathrust tawa simpan potensi energi gempa potensi picu tsunami infobencana bencana gempa tawa sumbar siagabencana tanggapdaruarat dmcdompetdhuafa indonesiasiapsiaga,9,positive
pilih berita kemarin rangkum laman humaniora news,-6,negative
segmen megathrust tawa milik sejarah gempa,5,positive
gempa megathrust ciricirinya via,4,positive
gempa megathrust ciricirinya,4,positive
bagus ujung daerah patah megathrust kacau orang darat situ kagak tidur rasai gempa,1,positive
gempa segmen megathrust tawa,4,positive
gempa megathrust tanda dampak rusak tempotekno,2,positive
gempa jalur megathrust siberutmentawai sumatera barat kali peristiwa tsunami dahsyat kumparannews,4,positive
megathrustconvergent temu lempeng dunia gera vertikal patah transformstrike slip temu gera horizontal destruktif megathrust,-4,negative
sumber megathrust efek parah lokasi pesisir guncang hebat megathrust khawatir tsunaminyasemoga efek destruktif,-1,negative
ya rabb trauma susah banget diilanginnya kali gempa lempeng megathrust alias tawa tanggal tua kayak rawan bencana malam ya wallahu alam sih doain ya moga aman,1,positive
video kenal megathrust ancam wilayah indonesia vlix,-1,negative
kenal megathrust ancam wilayah indonesia,-1,negative
jalur megathrust gempa susul masyarakat tawa waspada via infosumbar gempa tawa,7,positive
bmkg gempa tawa akibat subduksi lempeng megathrust mentawaisiberut,5,positive
tipe beda sesar san andreas tipe transform fault sunda megathrust tipe convergent fault as sesar kelas sunda megathrust aleutian megathrust alaska,-5,negative
megathrust vs mitigasi bencana bengkalai ribu selip tibatiba patah megathrust sunda sebab angkat dasar laut aceh myanmar akibat gempa bumi,2,positive
sumatra prediksi megathrust bukti banyak berita takut masyarakat bkmg,0,neutral
indonesia bayangbayang gempa megathrust tempotekno,4,positive
earthquake jolts bengkulu city again from megathrust zone english news news breakingnews,0,neutral
populer sains anjing menang temu milik gempa bengkulu pusat zona megathrust labalaba tidur sikap pilih gender,21,positive
megathrust selat sunda beda tinggal jakarta waspada megathrust selat sunda,2,positive
pantai barat sumatera hal pantai selatan jawa kait potensi bencana gempa tsunami sektor potensi megathrust picu gempa kuat kaji banyak sosialisasi cc,21,positive
mirz oh iya parah bkl ngeri banget megathrust struktur bangun tahan gempa,0,neutral
gempa magnitudo guncang bengkulu zona megathrust,1,positive
president jokowi tells bnpb improve public awareness on megathrust quake sekretariat kabinet republik indonesia,-3,negative
alhamdulillah episenter gempa bengkulu mag zona megathrust dampak signifikan amp korban jiwa,2,positive
gempa magnitudo zona megathrust guncang lampung tempotekno,1,positive
gempa magnitudo guncang bengkulu zona megathrust sindonews bukanberitabiasa,1,positive
bmkg gempa bengkulu malam zona megathrust,3,positive
bmkg gempa bengkulu malam zona megathrust tempotekno,3,positive
gempa bengkulu magnitudo sebab aktivitas lempeng indoaustralia zonamegathrust,7,positive
akibat aktivitas subduksi lempeng indoaustralia tunjam lempeng eurasia tepat zona megathrust hasil analisis mekanisme sumber gempabumi milik mekanisme gera thrust fault,9,positive
perhati lokasi episenter dalam hiposenternya gempabumi jenis gempabumi dangkal akibat aktivitas subduksi lempeng indoaustralia tunjam lempeng eurasia tepat zona megathrust,5,positive
mag hypo update parameter thrusting bidang kontak lempengmegathrust,2,positive
primetime news metrotv gempa bal lombok mag gempa intraslab gempa akibat patah lempeng indoaustralia gempa megathrust,13,positive
uncover jalur lempeng indonesia australia ya min kmudian nama megathrust potensi tsunami puluh meter,3,positive
ndari gantung skenario gempa megathrust sing dienggo nek skenario most likely ya peta pakai nek skenario worstcase genang tsunami tekan kota wates,8,positive
gempa sumber asal lempeng megathrust sekitar jepara asa utara gempa muka,11,positive
megathrust jawa mas,0,neutral
bagir peristiwa sebentar kuasa allah azza wa jalla gempa megathrust rapi letus tokoh pengaruh indonesia tinggal wajar bongkar mafia vaksin covid,10,positive
uncover jalur patah panjang megathrust samudra hindia min,-6,negative
waspada megathrust warga diy menit evakuasi,3,positive
kesiapsiagan risiko bencana tsunami akibat guncang megathrust selatan jawa barat endiani kenaliancamannya kurangirisikonya siapuntukselamat pakaimasker booster,-10,negative
bmkg dorong sekolah lapang gempa bentuk komunitas siaga tsunami masingmasing desa pesisir mitigasi potensi gempa megathrust serta tsunami pantai selatan jawa,26,positive
djurnal bmkg potensi gempa megathrust pantai selatan jawa ramal serius berita djurnalis news informasi djurnal,-1,negative
desa cilacap potensi dampak gempa megathrust cilacap fokusutama gempa gempabumi gempacilacap,8,positive
kepala bmkg dwikorita karnawati potensi gempa megathrust magnitudo pantai selatan jawa ramal prediksi,9,positive
gempa cegah tsunami cegah korban jiwa cegah kepala bmkg dwikora karnawati kumparansains,6,positive
model tsunami skenario buruk model penting mitigasi bencana,-1,negative
model tsunami skenario buruk model penting mitigasi bencana,-1,negative
kenal megathrust sebab potensi gempa cilacap,13,positive
ijin prediksi aktivitas gempa megathrust ulang rentang dstmisal ulang depan masuk siklus ulang,4,positive
darat sulit siulak laut persis sejajar sulit siulak segmen megathrust tawa kesan megathrust aceh belah barat west andam fault sepi nih,-7,negative
bmkg deteksi potensi tsunami pantai selatan jawa tinggi capai meter pantai cilacap potensi hitung dasar hasil model tsunami skenario buruk akibat gempa bumi magnitudo zona megathrust,22,positive
gempa megathrust magnitudo potensi pantai selatan pansela pulau jawa bpbd jawa barat kesiapsiagaan masyarakat mitigasibencana,8,positive
gempa megathrust magnitudo potensi pantai selatan pansela jawa bpbd jabar kesiapsiagaan masyarakat,11,positive
kepala bmkg ingat potensi gempa megathrust ramal murni alami haarp,4,positive
potensi gempa megathrust kuat cilacap kepala bmkg ramal potensigempamegathrust cilacap bmkg,7,positive
kepala bmkg potensi gempa megathrust ramal analisis,9,positive
kepala badan meteorologi klimatologi geofisika bmkg dwikorita karnawati masyarakat ancam gempa bumi tsunami selatan pulau jawa tempotekno,-3,negative
tsunami skenario buruk khawatir potensi tsunami tinggi pantai cilacap akibat gempabumi kuat zona megathrust tumbu lempeng,6,positive
kepala bmkg ingat potensi gempa innalillahi wa innailaihi raajiun,9,positive
kepala bmkg potensi gempa megathrust ramal analisis id,9,positive
bmkg potensi gempa megathrust magnitudo pantai selatan jawa ramal prediksi,9,positive
lindu link tara ribu kali bom atom hnb amp mekanisme thrust zona runtuh kali deformasi vertikal gtm dorong kolom air sedlm tsunami pansela jawa gtm penetrasi gtkm darat ayo siap mitigasinya,10,positive
mari waspada jakarta potensi gempa megathrust magnitudo pantai selatan pansela jawa nyata potensi ramal prediksi,23,positive
bmkg potensi gempa megathrust magnitudo pensela ramal beritajogja jogja jogjaistimewa,5,positive
kepala bmkg dwikorita karnawati potensi gempa megathrust magnitudo pantai selatan pansela jateng ramal,6,positive
kepala bmkg dwikorita karnawati potensi gempa megathrust magnitudo pantai selatan jawa ramal prediksi,9,positive
bmkg ingat potensi gempa megathrust ramal,7,positive
kepala bmkg potensi gempa megathrust magnitudo pantai selatan jawa ramal,6,positive
potensi gempa megathrust ya man teman prediksi ramal mudah percaya hoax,12,positive
bmkg gempa bengkulu picu subduksi lempeng zona megathrust,4,positive
gempa bengkulu zonamegathrust,4,positive
gempa bengkulu zonamegathrust,4,positive
gempa bengkulu sebab subduksi lempeng zona megathrust,7,positive
gempa bengkulu picu subduksi lempeng zona megathrust,4,positive
bmkg gempa bengkulu kuat magnitudo picu subduksi lempeng zona megathrust,6,positive
menganalisa sungai laut zona megathrust tawa sumatera barat potensi tsunami,3,positive
gempa bengkulu bmkg zona megathrust,4,positive
hasil analisis mekanisme sumber gempa milik mekanisme sumber gera thrust fault bukti gempa zona megathrust,13,positive
perhati lokasi episenter dalam hiposenternya gempa bengkulu pagi jenis gempa dangkal akibat aktivitas subduksi lempeng mana lempeng indoaustralia tunjam pulau sumatra zona megathrust,14,positive
update informasi gempa bengkulu mag dalam hypocenter mekanisme sumber penyesaranpatahan thrusting gempa picu aktivitas subduksi lempeng zona megathrust,13,positive
menganalisa sungai laut zona megathrust tawa sumatera barat potensi tsunami,3,positive
bilang gempa megathrust serta tsunami amp heboh ombak,7,positive
letak ya kayak segmen megathrust ya,5,positive
gempa sumber zona megathrust mekanisme naikthrusting guncang tasik ciamis pangandaran garut sukabumi bandung magnitudo dalam malam wib potensi tsunami,5,positive
potensi tsunami arah gempa megathrust,8,positive
uncover moga gempa megathrust moga korban jiwa hiiiii takut,3,positive
sebentar insiden spiritual the day insiden gempa megathrust mega tsunami sama tingkat kualitas religi spiritual selamat masuk seleksi babak adab,14,positive
ngapunten sse anggap rilis energi zona megathrust lambat ulang,7,positive
gempa zona megathrust kak bidang kontak lempeng,6,positive
potensi gempa tsunami megathrust selatan pulau jawa,7,positive
iya habis dengar kabar tsunmi pas habis rumor megathrust lho,8,positive
sajak gue bilang ngetaq sinino respon cuman solusi megathrust bumi iniminimal perang nuklir benua,4,positive
polri udahpercuma taq biar hancur negeri ngotottp biar ya jelasmslhnya aksi nmkan bebas demokrasi sampai dapat ham preketek gue harap megathrust bumi,11,positive
gelar mitigasi antisipasi megathrust amp hydrometreologi,5,positive
hiposenter gempa bengkululampung mag malam zona transisi zona megathrust zona benioff mekanisme sumber sesar thrust fault,3,positive
segmen megathrust sunda kondisi jadi sukabumi potensi gempa picu tsunami,8,positive
pantai indonesia wilayah rawan tsunami salah satu kabupaten sukabumi pantai selatan jawa potensi tsunami sukabumi wilayah zona megathrust selat sunda mss,-1,negative
patah wilayah sulawesi akan pisah selat makasar perlahan luncur picu megathrust,-7,negative
potensi gempa megathrust laut sulawesi,7,positive
acau makar khianat bangsa moga rezim hancur megathrust,-7,negative
bknkamu napo kudu megathrust koyok nyengkakno kiamat wae,-3,negative
omongo ndang rabi selak megathrust,0,neutral
tepat juni gempa selatan jawa timur mag sumber zona megathrust gempa picu tsunami landa pantai plengkung pancer rajegwesi sebab korban tinggal jiwa sumber,9,positive
loh researchers bilang indonesia tuh salah potensi negara dampak megathrust prediksi susah memitigasi pikir,-3,negative
sialaaan yeah sih daerah megathrust zone real,2,positive
krisis iklim perintah trenggalek dukung pusat trenggalek sisi selatan pulau jawa masuk peta dampak zona megathrust lengkap,-1,negative
gempa magnitudo bengkulu zona megathrust segmen enggano,4,positive
gempa kuat dinihari bengkulu zona megathrust bmkg syukur rusak tempotekno,14,positive
jawi gempur gempa sisi lempeng lidah tahan indonesia kurva jawa amp sumatera prediksi megathrust lempeng sunda runtuh tinggal tunggu queensland alami banjir next pakistanamp jakarta banjir,4,positive
alhamdulillah ya allah zona megathrust rusak,17,positive
gempa bengkulu zona megathrust segmen enggano,4,positive
gempa kuat dinihari bengkulu zona megathrust bmkg syukur rusak,14,positive
gempa jenis gempa dangkal,9,positive
bmkg gempa jenis gempa dangkal akibat aktivitas subduksi lempeng indoaustralia tunjam lempeng eurasia tepat zona megathrust segmen enggano,10,positive
ndeso haarp sesar megathrust gunung letus pas gunung kelud letus panas nauzubillah tempat banget jarak lewat kota,1,positive
sumber gempa selatan ntt zona megathrust sumba kuat kawasan sumba labu bajo manggarai sabu rote kupang tsunami meter,6,positive
tsunami sunda bmkg sesar flores galak megathrust tempotekno,0,neutral
gempa megathrust jawa gempa mas,8,positive
astaghfirullah al adzim benar ngerik ulama nahi mungkar orang video raya maksiat besar prasyarat megathrust sr selat sunda selatan jawa penuh,2,positive
bmkg dukung bangun ikn dwikorita karnawati kalimantan zona megathrust prokes lebaran,4,positive
bmkg dukung bangun ikn dwikorita karnawati kalimantan zona megathrust prokes lebaran,4,positive
bmkg dukung bangun ikn dwikorita karnawati kalimantan zona megathrust prokes lebaran,4,positive
bmkg dukung bangun ikn dwikorita karnawati kalimantan zona megathrust prokes lebaran,4,positive
bmkg dukung bangun ikn dwikorita karnawati kalimantan zona megathrust prokes lebaran,4,positive
harap tunggu jawa yogyakarta guncang gempa lepas energi megathrust java amin ya rabb,13,positive
wilayah kabupaten tasikmalaya ancam kena gelombang tsunami akibat megathrust zona subduksi pantai selatan jawa barat merahputihcom tsumani tasikmalaya,-5,negative
bmkg tasikmalaya ancam kena tsunami akibat gempa megathrust,-2,negative
jabar rawan hadap subduksi selatan jawa,-2,negative
tsunami megathrust ancam jabar selatan tasikmalaya rawan,-6,negative
bmkg meta wilayah kabupaten tasikmalaya potensi ancam gelombang tsunami akibat megathrust zona subduksi pantai selatan jawa barat,1,positive
pantai cipatujah ancam tsunami megathrust meter inilahcom inilahdotcom,-3,negative
pantai cipatujah tasikmalaya tinggi maksimum tsunami landa gempa zona megathrust meter pmg stasiun geofisika bandung sandy nur eko kumparannews,7,positive
tasikmalaya ancam tsunami meter akibat megathrust selatan jawa simak jelas bmkg,1,positive
tasikmalaya wilayah ancam tsunami megathrust tinggi pantai selatan jabar,3,positive
waspada tasikmalaya ancam tsunami megathrust meter sariagri tani,-1,negative
kuat gempa peta prediksi magnitudo zona subduksi selat sunda selatan jawa barat,9,positive
amat bmkg ancam gelombang tsunami meter gempa zona megathrust,4,positive
bmkg peta tasikmalaya wilayah ancam tsunami megathrust tinggi,-1,negative
gempa bumi sumber zona megathrust potensi rusak magnitudo potensi picu tsunami,13,positive
potensi mbuka kunci megathrust,6,positive
sukabumi guncang gempa bmkg akibat megathrust selatan jawa sindonews bukanberitabiasa,2,positive
kenal istilah ilmiah akurat kenal region min pakai istilah palung webber zona megathrust bentuk persepsi konsep salah georeg wilayah,6,positive
bentuk region dasar megathrust subduksi,4,positive
bahasa akademis paham awam tinggal sosmed bisa sederhana esensi komunikasi definisi ilmiah cocok mhs sains ada megathrust paham awam,16,positive
ikn selamat indonesia masa akibat over populasi amp macet jakarta potensi megathrust pulau jawa,9,positive
palung weber salah palung dalam dunia capai dalam meter lebar palung hasil tumbu lempeng raksasa megathrust eurasia lempeng pasifik arah timur,14,positive
agusta megathrust beda sesar lembang patah megathrust sisi selatan pulau jawa samudera indonesia,-6,negative
lokakarya hasil analisis kembang strategi tanggulang bencana kawasan megathrust nasional december,7,positive
susah cokkkkk gue smt kayak angin trnyt badai angin topan puting beliung tanah longsor gempa tsunami megathrust,-9,negative
pascagempa rambu zona aman tsunami arah jalur evakuasitanda bangun shelter jalan protokol kota padang tanda kota padang hadap ancam tawa megathrust,-11,negative
pakde paksa ikn ya faktor bencana alam pakde sebut lantang masyarakat megathrust jawa banjir jakarta penasaran,-6,negative
tonton japan sinks parno ya cocoklogi berita megathrust indonesia bangun ikn mesti pindah pulau jawa bal kah gara lem,-10,negative
zona megathrust gempa biak,1,positive
ancama megathrust,0,neutral
picu tsunami dahsyat bmkg megathrust selatan jawa kiamat bmkg ingat picu tsunami selatan pulau jawa kiamat picu gtgt detikcom,-2,negative
mm ya sih presiden concern pulau jawa ambang megathrust tahun pusat jawa jadi megathrust kacau bgtampbyk korban jiwa,7,positive
kenal gempa bumi megathrust potensi indonesia,10,positive
gempa bumi megathrust potensi indonesia gempa disebutsebut kuat potensi tsunami indonesia kena ya gtgt via edu,17,positive
bmkg ingat megathrust selatan jawa kiamat,-1,negative
bmkg ingat masyarakat potensi gempa megathrust picu tsunami pulau jawa,9,positive
kepala pusat gempa bumi tsunami badan meteorologi klimatologi geofisika bmkg daryono potensi gempa megathrust picu tsunami selatan pulau jawa pulaujawa tsunami,11,positive
potensi megathrust wilayah selatan pulau jawa perhati utama ganjar pranowo bijaksana antisipasi potensi bencana ganjar presiden,18,positive
waspada kawasan selatan jawa potensi gempa megathrust,10,positive
waspada kawasan selatan jawa potensi gempa megathrust,10,positive
cc mas zak tanda ungu sumatra jawa zona megathrust,-2,negative
bmkg mneginfokan bencana megathrust indonesia sebab gempa bumi tsunami sih zona megathrust indonesia cuss cek mari lengkapkomplit antisipasi cc karni ilyas cnblue suho prince mateen,5,positive
fluktuasi ya pas megathrust,7,positive
jaman sekolah prediksi megathrust tea tau bmkg suka asih tau gempa bikin takut tweetan orgnya,7,positive
yes paham gempa megathrust gempa zona megathrust cmiiw ya seismologi si sks seru ngang ngong jujur,24,positive
gempa nama megathrust gempa guede kah,8,positive
ya selatan jawa megathrust sih temu lempeng waspada,9,positive
megathrust salah kaprah banyak orang mikir megathrust gempa gede megathrust mega thrust dorong gaya dorong konteks zona subduksi lempeng hindia eurasia bagi selatan jawa cmiiw,9,positive
salah paham istilah megathrust,-4,negative
gempa megathrust imbau,4,positive
lempeng potensi gempa btw isu gempa megathrust media lalusiklus ya siklus ratus,14,positive
bmkg ingat megathrusttsunami meter intai selatan jawa,2,positive
bmkg salah megathrust heboh ya bmkg bilang prediksi besar batas duga suruh waspada sayang sih bangun anti gempa jawa kayak dikit banget,8,positive
gempa megathrust selatan jawa potensi picu tsunami tinggi meter kawasan pesisir selatan jawa megathurst milik potensi magnitude maksimum stay safe blistener morningvoice,14,positive
megathrust picu tsunami selatan jawa meter pakar gempa info lengkap megathrust tsunami,2,positive
bmkg kebumen masuk zona potensi gempa megathrust skala tsunami meter,4,positive
bmkg ingat megathrusttsunami meter intai selatan jawa,2,positive
bahas potensi gempa tsunami sunda megathrust tuh gempa gede,15,positive
pakar kan alas selatan jawa potensi tsunami meter akibat megathrust,3,positive
gempa megathrus ancam selatan pulau jawa akibat tsunami fakta megathrust portalyogya megathrust,-2,negative
bmkg prediksi tsunami selatan jawa efek megathrust,6,positive
bmkg hitung tsunami hantam selatan jawa efek megathrust,-1,negative
bmkg hitung tsunami hantam selatan jawa efek megathrust,-1,negative
berita potensi tsunami selatan cilacap abang tanah getar abang menit kenal megathrust sebab potensi gempa cilacap,13,positive
zona megathrust,0,neutral
kabupaten kebumen salah zona potensi gempa tsunami indonesia posisi hadap langsung zona megathrust selatan jawa milik potensi magnitude maksimum,10,positive
potensi tsunami cilacap akibat megathrust brin bikin model simulasi tempotekno,7,positive
nontonlah film sadar dahsyat megathrust tsunami akibat jatuh bintang ekor nibiru masa pilih banyak amal selamat nyawa,13,positive
hadiah kapal nao victoria selamat megathrust tsunami masa jujur nolak,10,positive
gempa kalimantan ilmiah lantai gempa akibat divergen lempeng jauh megathrust waspada daerah slope batu dasar kalimantan terdr selangseling sandclaysiltcoal,10,positive
selatan selat sunda megathrust tidur banget,4,positive
gempa megathrust,4,positive
pagar megathrust beli,2,positive
sumber megathrust utara papua sesar aktif,2,positive
orang salah hitung selatan jatim sisi timur lepas energi zona megathrust fokus teliti pusat daerah concern ya sisi malang bal,3,positive
latar tektonik gempa aceh sumatra gempa megathrust zona subduksi dangkal area tengara zona bangkit tsunami gempa tsunamigenic,15,positive
les ojo ngujo senang tok alihalih putar duite gedeeee po normalisasi acara ndlogok iku deloken kae winggi mbak karnaval e pas horeg sek joget po ora ro mendem wayah wes bengi ya pancet gas dajar lindhu megathrust gek neng ngko,10,positive
bpbd diy masyarakat panik kait potensi megathrust,0,neutral
gempa megathrust potensi pesisir selatan tsunami meter,7,positive
bmkg megathrust diy potensi prediksi megathrust potensimegathrustdiy bmkgdiy,6,positive
gempa megathrust selatan diy kuat capai magnitudo potensi tsunami potensi prediksi publisherstory pandanganjogja,19,positive
gempa samudra hindia selatan banten dalam siang tjd akibat deformasi batu slab lempeng indoaustralia intraslab tersubduksi lempeng eurasia pic bukti gempa pusat megathrust lempeng indoautralia,14,positive
bmkg gempa tsunami selatan jawa potensi gempa magnitudo picu tsunami meter model ahli itb rahmat skenario buruk zona gempa megathrust,10,positive
bandung banten sukabumi rawan gempa bumi megathrust,-2,negative
bas megathrust deteksi kepung indonesia zona patah simpan kuat prediksi pecah ulang jeda capai ratus infografis cnnindonesia,2,positive
bas megathrust kepung indonesia picu gempa tsunami waspadagempadantsunami,4,positive
doa jaga utama tobat tuhan yesus percaya tuhan yesus apa malapetaka lindung tuhan orang percaya tuhan yesus kena malapetaka,8,positive
jawa buoy aktif ancam tsunami dahsyat megathrust,0,neutral
bas megathrust deteksi kepung indonesia zona patah simpan kuat prediksi pecah ulang jeda capai ratus infografis cnnindonesia,2,positive
sesar opak yogyakarta potensi magnitudo subduksi lempeng megathrust magnitudo selatan jawa,3,positive
kepala bmkg dwikorita karnawati ancam tsunami picu ada sumber gempa aktif sesar opak yogyakarta subduksi lempeng megathrust,6,positive
online koreksi sesar opak sesar mayoritas darat potensi tsunami meter pesisir selatan jawa timbul gempa zona subduksi tepat zona megathrust,5,positive
infografis indonesia kepung megathrust,0,neutral
jawa buoy aktif ancam tsunami dahsyat megathrust,0,neutral
banding gempa bantul juni kemarin asa banget shakemap masuk kategori light moderate warna biru hijau gempa megathrust,15,positive
bikin takut megathrust benar jadi tuh ancam tsunami ancam getar gempa menit contoh megathrust aceh amp tohoku,1,positive
baca megathrust gempa instrumen musik,9,positive
dasar peta seismisitas pulau jawa sumber gempa megathrust selatan jawa sesar opak tampaksangat aktif picu gempa dangkal variasi magnitudo dalam,14,positive
uncover rancang tsunami meter ya kena bangun bandara samudra tektonik aktif megathrust pakai ilmu geologi oke ruang tunggu ruang ambil bagasi ya rendah habis pikir orang acc bandara situ,2,positive
