full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
Mengenal Gempa Bumi Megathrust Apakah Berpotensi Terjadi di Indonesia? https://t.co/K1YWyuPixl,mengenal gempa bumi megathrust apakah berpotensi terjadi indonesia tcokywyupixl,mengenal gempa bumi megathrust apakah berpotensi terjadi indonesia tcokywyupixl,"['mengenal', 'gempa', 'bumi', 'megathrust', 'apakah', 'berpotensi', 'terjadi', 'indonesia', 'tcokywyupixl']","['mengenal', 'gempa', 'bumi', 'megathrust', 'berpotensi', 'indonesia', 'tcokywyupixl']",kenal bumi potensi tcokywyupixl,10,positive
Apa Itu Gempa Bumi Megathrust? Begini Potensi Terjadinya di Indonesia Kamu tahu nggak soal gempa ini yang disebut-sebut punya kekuatan besar dan berpotensi tsunami? Indonesia bisa kena nggak ya? &gt;&gt; https://t.co/v6dwVncMA1 Via @detik_edu,gempa bumi megathrust begini potensi terjadinya indonesia kamu tahu nggak soal gempa yang disebutsebut punya kekuatan besar berpotensi tsunami indonesia bisa kena nggak gtgt tcovdwvncma detikedu,gempa bumi megathrust begini potensi terjadinya indonesia kamu tahu tidak soal gempa yang disebutsebut punya kekuatan besar berpotensi tsunami indonesia bisa kena tidak gtgt tcovdwvncma detikedu,"['gempa', 'bumi', 'megathrust', 'begini', 'potensi', 'terjadinya', 'indonesia', 'kamu', 'tahu', 'tidak', 'soal', 'gempa', 'yang', 'disebutsebut', 'punya', 'kekuatan', 'besar', 'berpotensi', 'tsunami', 'indonesia', 'bisa', 'kena', 'tidak', 'gtgt', 'tcovdwvncma', 'detikedu']","['gempa', 'bumi', 'megathrust', 'potensi', 'indonesia', 'gempa', 'disebutsebut', 'kekuatan', 'berpotensi', 'tsunami', 'indonesia', 'kena', 'gtgt', 'tcovdwvncma', 'detikedu']",bumi potensi disebutsebut kuat potensi kena gtgt tcovdwvncma detikedu,13,positive
BMKG Peringatkan Megathrust Selatan Jawa Bakal Ada Sampai Kiamat https://t.co/6rfGcSpDzT,bmkg peringatkan megathrust selatan jawa bakal sampai kiamat tcorfgcspdzt,bmkg peringatkan megathrust selatan jawa bakal sampai kiamat tcorfgcspdzt,"['bmkg', 'peringatkan', 'megathrust', 'selatan', 'jawa', 'bakal', 'sampai', 'kiamat', 'tcorfgcspdzt']","['bmkg', 'peringatkan', 'megathrust', 'selatan', 'jawa', 'kiamat', 'tcorfgcspdzt']",bmkg ingat selatan kiamat tcorfgcspdzt,-1,negative
BMKG Ingatkan Masyarakat tentang Potensi Gempa Megathrust yang Bisa Memicu Tsunami di Pulau Jawa https://t.co/q3ptWhWKoj,bmkg ingatkan masyarakat tentang potensi gempa megathrust yang bisa memicu tsunami pulau jawa tcoqptwhwkoj,bmkg ingatkan masyarakat tentang potensi gempa megathrust yang bisa memicu tsunami pulau jawa tcoqptwhwkoj,"['bmkg', 'ingatkan', 'masyarakat', 'tentang', 'potensi', 'gempa', 'megathrust', 'yang', 'bisa', 'memicu', 'tsunami', 'pulau', 'jawa', 'tcoqptwhwkoj']","['bmkg', 'ingatkan', 'masyarakat', 'potensi', 'gempa', 'megathrust', 'memicu', 'tsunami', 'pulau', 'jawa', 'tcoqptwhwkoj']",bmkg ingat masyarakat potensi picu pulau tcoqptwhwkoj,9,positive
Kepala Pusat Gempa Bumi dan Tsunami Badan Meteorologi Klimatologi dan Geofisika (BMKG) Daryono mengatakan potensi gempa megathrust yang memicu tsunami akan terus ada di bagian selatan Pulau Jawa. #PulauJawa #Tsunami https://t.co/xFIMdDFM4Q,kepala pusat gempa bumi tsunami badan meteorologi klimatologi geofisika bmkg daryono mengatakan potensi gempa megathrust yang memicu tsunami akan terus bagian selatan pulau jawa pulaujawa tsunami tcoxfimddfmq,kepala pusat gempa bumi tsunami badan meteorologi klimatologi geofisika bmkg daryono mengatakan potensi gempa megathrust yang memicu tsunami akan terus bagian selatan pulau jawa pulaujawa tsunami tcoxfimddfmq,"['kepala', 'pusat', 'gempa', 'bumi', 'tsunami', 'badan', 'meteorologi', 'klimatologi', 'geofisika', 'bmkg', 'daryono', 'mengatakan', 'potensi', 'gempa', 'megathrust', 'yang', 'memicu', 'tsunami', 'akan', 'terus', 'bagian', 'selatan', 'pulau', 'jawa', 'pulaujawa', 'tsunami', 'tcoxfimddfmq']","['kepala', 'pusat', 'gempa', 'bumi', 'tsunami', 'badan', 'meteorologi', 'klimatologi', 'geofisika', 'bmkg', 'daryono', 'potensi', 'gempa', 'megathrust', 'memicu', 'tsunami', 'selatan', 'pulau', 'jawa', 'pulaujawa', 'tsunami', 'tcoxfimddfmq']",kepala pusat bumi badan meteorologi klimatologi geofisika bmkg daryono potensi picu selatan pulau pulaujawa tcoxfimddfmq,11,positive
Potensi megathrust di wilayah selatan Pulau Jawa menjadi perhatian utama Ganjar Pranowo menunjukkan kebijaksanaan dalam mengantisipasi potensi bencana. Ganjar Presiden https://t.co/CbYWBmqBDi,potensi megathrust wilayah selatan pulau jawa menjadi perhatian utama ganjar pranowo menunjukkan kebijaksanaan dalam mengantisipasi potensi bencana ganjar presiden tcocbywbmqbdi,potensi megathrust wilayah selatan pulau jawa menjadi perhatian utama ganjar pranowo menunjukkan kebijaksanaan dalam mengantisipasi potensi bencana ganjar presiden tcocbywbmqbdi,"['potensi', 'megathrust', 'wilayah', 'selatan', 'pulau', 'jawa', 'menjadi', 'perhatian', 'utama', 'ganjar', 'pranowo', 'menunjukkan', 'kebijaksanaan', 'dalam', 'mengantisipasi', 'potensi', 'bencana', 'ganjar', 'presiden', 'tcocbywbmqbdi']","['potensi', 'megathrust', 'wilayah', 'selatan', 'pulau', 'jawa', 'perhatian', 'utama', 'ganjar', 'pranowo', 'kebijaksanaan', 'mengantisipasi', 'potensi', 'bencana', 'ganjar', 'presiden', 'tcocbywbmqbdi']",potensi wilayah selatan pulau perhati utama ganjar pranowo bijaksana antisipasi potensi bencana ganjar presiden tcocbywbmqbdi,18,positive
Terus Waspada Kawasan Selatan Jawa Potensi Gempa Megathrust https://t.co/fOaN8PjXpc,terus waspada kawasan selatan jawa potensi gempa megathrust tcofoanpjxpc,terus waspada kawasan selatan jawa potensi gempa megathrust tcofoanpjxpc,"['terus', 'waspada', 'kawasan', 'selatan', 'jawa', 'potensi', 'gempa', 'megathrust', 'tcofoanpjxpc']","['waspada', 'kawasan', 'selatan', 'jawa', 'potensi', 'gempa', 'megathrust', 'tcofoanpjxpc']",waspada kawasan selatan potensi tcofoanpjxpc,10,positive
Terus Waspada Kawasan Selatan Jawa Potensi Gempa Megathrust - https://t.co/6Tx5BWdHqt,terus waspada kawasan selatan jawa potensi gempa megathrust tcotxbwdhqt,terus waspada kawasan selatan jawa potensi gempa megathrust tcotxbwdhqt,"['terus', 'waspada', 'kawasan', 'selatan', 'jawa', 'potensi', 'gempa', 'megathrust', 'tcotxbwdhqt']","['waspada', 'kawasan', 'selatan', 'jawa', 'potensi', 'gempa', 'megathrust', 'tcotxbwdhqt']",waspada kawasan selatan potensi tcotxbwdhqt,10,positive
@ssgeos Cc @zakiberkata mas Zak yg ada tanda ungu di sumatra dan jawa apakah itu zona megathrust?,ssgeos zakiberkata tanda ungu sumatra jawa apakah zona megathrust,ssgeos zakiberkata tanda ungu sumatra jawa apakah zona megathrust,"['ssgeos', 'zakiberkata', 'tanda', 'ungu', 'sumatra', 'jawa', 'apakah', 'zona', 'megathrust']","['ssgeos', 'zakiberkata', 'tanda', 'ungu', 'sumatra', 'jawa', 'zona', 'megathrust']",ssgeos zakiberkata tanda ungu sumatra zona,-2,negative
BMKG mneginfokan akan ada bencana megathrust di Indonesia yang sebabkan gempa bumi dan tsunami. Lalu mana aja sih zona megathrust di Indonesia? Cuss cek di mari lengkap+komplit buat antisipasi! CC: Karni Ilyas #CNBLUE Suho Prince Mateen https://t.co/mKq533sHUN,bmkg mneginfokan akan bencana megathrust indonesia yang sebabkan gempa bumi tsunami lalu mana zona megathrust indonesia cuss mari lengkapkomplit buat antisipasi karni ilyas cnblue suho prince mateen tcomkqshun,bmkg mneginfokan akan bencana megathrust indonesia yang sebabkan gempa bumi tsunami lalu mana zona megathrust indonesia cuss mari lengkapkomplit buat antisipasi karni ilyas cnblue suho prince mateen tcomkqshun,"['bmkg', 'mneginfokan', 'akan', 'bencana', 'megathrust', 'indonesia', 'yang', 'sebabkan', 'gempa', 'bumi', 'tsunami', 'lalu', 'mana', 'zona', 'megathrust', 'indonesia', 'cuss', 'mari', 'lengkapkomplit', 'buat', 'antisipasi', 'karni', 'ilyas', 'cnblue', 'suho', 'prince', 'mateen', 'tcomkqshun']","['bmkg', 'mneginfokan', 'bencana', 'megathrust', 'indonesia', 'sebabkan', 'gempa', 'bumi', 'tsunami', 'zona', 'megathrust', 'indonesia', 'cuss', 'mari', 'lengkapkomplit', 'antisipasi', 'karni', 'ilyas', 'cnblue', 'suho', 'prince', 'mateen', 'tcomkqshun']",bmkg mneginfokan bencana sebab bumi zona cuss mari lengkapkomplit antisipasi karni ilyas cnblue suho prince mateen tcomkqshun,9,positive
@ssgeos Fluktuasi nya pas di bagian megathrust,ssgeos fluktuasi bagian megathrust,ssgeos fluktuasi bagian megathrust,"['ssgeos', 'fluktuasi', 'bagian', 'megathrust']","['ssgeos', 'fluktuasi', 'megathrust']",ssgeos fluktuasi,0,neutral
@jaengells trs kan emg dari jaman sekolah udh ada prediksi yg megathrust tea tpi gtw kapan kan tiap taun bmkg suka ngasih tau ttg gempa ini tpi banyak yg bikin takut dari tweetan org2nya,jaengells dari jaman sekolah prediksi megathrust kapan tiap taun bmkg suka ngasih gempa banyak bikin takut dari tweetan orgnya,jaengells dari jaman sekolah prediksi megathrust kapan tiap tahun bmkg suka mengasih gempa banyak bikin takut dari tweetan orgnya,"['jaengells', 'dari', 'jaman', 'sekolah', 'prediksi', 'megathrust', 'kapan', 'tiap', 'tahun', 'bmkg', 'suka', 'mengasih', 'gempa', 'banyak', 'bikin', 'takut', 'dari', 'tweetan', 'orgnya']","['jaengells', 'jaman', 'sekolah', 'prediksi', 'megathrust', 'bmkg', 'suka', 'mengasih', 'gempa', 'bikin', 'takut', 'tweetan', 'orgnya']",jaengells jaman sekolah prediksi bmkg suka asih bikin takut tweetan orgnya,15,positive
@ninesteptoyou Yes kalo sepemahamanku gempa megathrust itu gempa yg terjadi di zona megathrust. Tp cmiiw yh soalnya seismologi s1 cuma 2 sks dan walaupun seru agak ngang ngong jujur aja ,ninesteptoyou kalo sepemahamanku gempa megathrust gempa terjadi zona megathrust cmiiw soalnya seismologi cuma walaupun seru agak ngang ngong jujur,ninesteptoyou kalau sepemahamanku gempa megathrust gempa terjadi zona megathrust cmiiw soalnya seismologi cuma walaupun seru agak ngang ngong jujur,"['ninesteptoyou', 'kalau', 'sepemahamanku', 'gempa', 'megathrust', 'gempa', 'terjadi', 'zona', 'megathrust', 'cmiiw', 'soalnya', 'seismologi', 'cuma', 'walaupun', 'seru', 'agak', 'ngang', 'ngong', 'jujur']","['ninesteptoyou', 'sepemahamanku', 'gempa', 'megathrust', 'gempa', 'zona', 'megathrust', 'cmiiw', 'seismologi', 'seru', 'ngang', 'ngong', 'jujur']",ninesteptoyou paham zona cmiiw seismologi seru ngang ngong jujur,17,positive
@icyfoxgalaxy Jadi bakal tetap terjadi gempa yang dinamakan megathrust itu tapi bukan yg gempa besar yg guede gitu kah?,icyfoxgalaxy jadi bakal tetap terjadi gempa yang dinamakan megathrust tapi bukan gempa besar guede gitu,icyfoxgalaxy jadi bakal tetap terjadi gempa yang dinamakan megathrust tapi bukan gempa besar guede begitu,"['icyfoxgalaxy', 'jadi', 'bakal', 'tetap', 'terjadi', 'gempa', 'yang', 'dinamakan', 'megathrust', 'tapi', 'bukan', 'gempa', 'besar', 'guede', 'begitu']","['icyfoxgalaxy', 'gempa', 'dinamakan', 'megathrust', 'gempa', 'guede']",icyfoxgalaxy nama guede,8,positive
yaaa sepanjang selatan jawa emang megathrust sih. pertemuan lempeng ga cuma skrg tiap hr emg harus waspada,yaaa sepanjang selatan jawa emang megathrust pertemuan lempeng cuma skrg tiap harus waspada,ya sepanjang selatan jawa memang megathrust pertemuan lempeng cuma sekarang tiap harus waspada,"['ya', 'sepanjang', 'selatan', 'jawa', 'memang', 'megathrust', 'pertemuan', 'lempeng', 'cuma', 'sekarang', 'tiap', 'harus', 'waspada']","['ya', 'selatan', 'jawa', 'megathrust', 'pertemuan', 'lempeng', 'waspada']",ya selatan temu lempeng waspada,9,positive
@ninesteptoyou Megathrust itu banyak yg salah kaprah. Kebanyakan orangnya mikir megathrust = gempa gede padahal megathrust = mega + thrust = besar + dorongan = gaya dorongan yang besar dalam konteks ini zona subduksi antara lempeng Hindia sama Eurasia &gt; sebagiannya ada di selatan Jawa cmiiw.,ninesteptoyou megathrust banyak salah kaprah kebanyakan orangnya mikir megathrust gempa gede padahal megathrust mega thrust besar dorongan gaya dorongan yang besar dalam konteks zona subduksi antara lempeng hindia sama eurasia sebagiannya selatan jawa cmiiw,ninesteptoyou megathrust banyak salah kaprah kebanyakan orangnya mikir megathrust gempa gede padahal megathrust mega thrust besar dorongan gaya dorongan yang besar dalam konteks zona subduksi antara lempeng hindia sama eurasia sebagiannya selatan jawa cmiiw,"['ninesteptoyou', 'megathrust', 'banyak', 'salah', 'kaprah', 'kebanyakan', 'orangnya', 'mikir', 'megathrust', 'gempa', 'gede', 'padahal', 'megathrust', 'mega', 'thrust', 'besar', 'dorongan', 'gaya', 'dorongan', 'yang', 'besar', 'dalam', 'konteks', 'zona', 'subduksi', 'antara', 'lempeng', 'hindia', 'sama', 'eurasia', 'sebagiannya', 'selatan', 'jawa', 'cmiiw']","['ninesteptoyou', 'megathrust', 'salah', 'kaprah', 'kebanyakan', 'orangnya', 'mikir', 'megathrust', 'gempa', 'gede', 'megathrust', 'mega', 'thrust', 'dorongan', 'gaya', 'dorongan', 'konteks', 'zona', 'subduksi', 'lempeng', 'hindia', 'eurasia', 'sebagiannya', 'selatan', 'jawa', 'cmiiw']",ninesteptoyou salah kaprah banyak orang mikir gede mega thrust dorong gaya dorong konteks zona subduksi lempeng hindia eurasia bagi selatan cmiiw,9,positive
Dan banyak yang salah paham sama istilah megathrust ,banyak yang salah paham sama istilah megathrust,banyak yang salah paham sama istilah megathrust,"['banyak', 'yang', 'salah', 'paham', 'sama', 'istilah', 'megathrust']","['salah', 'paham', 'istilah', 'megathrust']",salah paham istilah,-4,negative
@tanyakanrl bukannya emang yang gempa megathrust itu udah diimbau dari lama?,tanyakanrl bukannya emang yang gempa megathrust udah diimbau dari lama,tanyakanrl bukannya memang yang gempa megathrust sudah diimbau dari lama,"['tanyakanrl', 'bukannya', 'memang', 'yang', 'gempa', 'megathrust', 'sudah', 'diimbau', 'dari', 'lama']","['tanyakanrl', 'gempa', 'megathrust', 'diimbau']",tanyakanrl imbau,4,positive
@tanyakanrl Lempeng berpotensi gempa besar btw isu gempa megathrust itu udah ada di media dr 1-2tahun lalu...siklus ya siklus ratusan tahun sekali.,tanyakanrl lempeng berpotensi gempa besar gempa megathrust udah media tahun lalusiklus siklus ratusan tahun sekali,tanyakanrl lempeng berpotensi gempa besar gempa megathrust sudah media tahun lalusiklus siklus ratusan tahun sekali,"['tanyakanrl', 'lempeng', 'berpotensi', 'gempa', 'besar', 'gempa', 'megathrust', 'sudah', 'media', 'tahun', 'lalusiklus', 'siklus', 'ratusan', 'tahun', 'sekali']","['tanyakanrl', 'lempeng', 'berpotensi', 'gempa', 'gempa', 'megathrust', 'media', 'lalusiklus', 'siklus', 'ratusan']",tanyakanrl lempeng potensi media lalusiklus siklus ratus,11,positive
BMKG Ingatkan Megathrust-Tsunami 18 Meter Intai Selatan Jawa https://t.co/P6g4E1GKlL,bmkg ingatkan megathrusttsunami meter intai selatan jawa tcopgegkll,bmkg ingatkan megathrusttsunami meter intai selatan jawa tcopgegkll,"['bmkg', 'ingatkan', 'megathrusttsunami', 'meter', 'intai', 'selatan', 'jawa', 'tcopgegkll']","['bmkg', 'ingatkan', 'megathrusttsunami', 'meter', 'intai', 'selatan', 'jawa', 'tcopgegkll']",bmkg ingat megathrusttsunami meter intai selatan tcopgegkll,2,positive
@tamanunyil @SorayaIP @cerelovey @rend123_ @tanyakanrl @infoBMKG betul. BMKG udh ngingetin dari 2018(?) kalau ga salah. Megathrust udh heboh dulu. Cuma ya sama BMKG dibilang ga bisa diprediksi kapan. Besarnya jg sebatas dugaan. Kita cuma disuruh waspada. Sayangnya si bangunan anti gempa di jawa keknya masih dikit bgt,tamanunyil sorayaip cerelovey rend tanyakanrl infobmkg betul bmkg ngingetin dari  kalau salah megathrust heboh dulu cuma sama bmkg dibilang bisa diprediksi kapan besarnya sebatas dugaan kita cuma disuruh waspada sayangnya bangunan anti gempa jawa keknya masih dikit,tamanunyil sorayaip cerelovey rend tanyakanrl infobmkg betul bmkg mengingatkan dari kalau salah megathrust heboh dulu cuma sama bmkg dibilang bisa diprediksi kapan besarnya sebatas dugaan kita cuma disuruh waspada sayangnya bangunan anti gempa jawa kayaknya masih dikit,"['tamanunyil', 'sorayaip', 'cerelovey', 'rend', 'tanyakanrl', 'infobmkg', 'betul', 'bmkg', 'mengingatkan', 'dari', 'kalau', 'salah', 'megathrust', 'heboh', 'dulu', 'cuma', 'sama', 'bmkg', 'dibilang', 'bisa', 'diprediksi', 'kapan', 'besarnya', 'sebatas', 'dugaan', 'kita', 'cuma', 'disuruh', 'waspada', 'sayangnya', 'bangunan', 'anti', 'gempa', 'jawa', 'kayaknya', 'masih', 'dikit']","['tamanunyil', 'sorayaip', 'cerelovey', 'rend', 'tanyakanrl', 'infobmkg', 'bmkg', 'salah', 'megathrust', 'heboh', 'bmkg', 'dibilang', 'diprediksi', 'besarnya', 'sebatas', 'dugaan', 'disuruh', 'waspada', 'sayangnya', 'bangunan', 'anti', 'gempa', 'jawa', 'kayaknya', 'dikit']",tamanunyil sorayaip cerelovey rend tanyakanrl infobmkg bmkg salah heboh bmkg bilang prediksi besar batas duga suruh waspada sayang bangun anti kayak dikit,3,positive
Gempa Megathrust di selatan Jawa berpotensi memicu tsunami dengan ketinggian hingga 18 meter di kawasan pesisir selatan Jawa Tengah. Megathurst ini katanya memiliki potensi magnitude maksimum M 8 7. Stay safe Blistener #MorningVoice,gempa megathrust selatan jawa berpotensi memicu tsunami dengan ketinggian hingga meter kawasan pesisir selatan jawa tengah megathurst katanya memiliki potensi magnitude maksimum stay safe blistener morningvoice,gempa megathrust selatan jawa berpotensi memicu tsunami dengan ketinggian hingga meter kawasan pesisir selatan jawa tengah megathurst katanya memiliki potensi magnitude maksimum stay safe blistener morningvoice,"['gempa', 'megathrust', 'selatan', 'jawa', 'berpotensi', 'memicu', 'tsunami', 'dengan', 'ketinggian', 'hingga', 'meter', 'kawasan', 'pesisir', 'selatan', 'jawa', 'tengah', 'megathurst', 'katanya', 'memiliki', 'potensi', 'magnitude', 'maksimum', 'stay', 'safe', 'blistener', 'morningvoice']","['gempa', 'megathrust', 'selatan', 'jawa', 'berpotensi', 'memicu', 'tsunami', 'ketinggian', 'meter', 'kawasan', 'pesisir', 'selatan', 'jawa', 'megathurst', 'memiliki', 'potensi', 'magnitude', 'maksimum', 'stay', 'safe', 'blistener', 'morningvoice']",selatan potensi picu tinggi meter kawasan pesisir selatan megathurst milik potensi magnitude maksimum stay safe blistener morningvoice,14,positive
Megathrust Sebagai Pemicu Tsunami di Selatan Jawa Setinggi 34 Meter Oleh Beberapa Pakar Kegempaan Info Lengkap : https://t.co/oDl7TrMrCa #megathrust #Tsunami,megathrust sebagai pemicu tsunami selatan jawa setinggi meter oleh beberapa pakar kegempaan info lengkap tcoodltrmrca megathrust tsunami,megathrust sebagai pemicu tsunami selatan jawa setinggi meter oleh beberapa pakar kegempaan info lengkap tcoodltrmrca megathrust tsunami,"['megathrust', 'sebagai', 'pemicu', 'tsunami', 'selatan', 'jawa', 'setinggi', 'meter', 'oleh', 'beberapa', 'pakar', 'kegempaan', 'info', 'lengkap', 'tcoodltrmrca', 'megathrust', 'tsunami']","['megathrust', 'pemicu', 'tsunami', 'selatan', 'jawa', 'meter', 'pakar', 'kegempaan', 'info', 'lengkap', 'tcoodltrmrca', 'megathrust', 'tsunami']",picu selatan meter pakar info lengkap tcoodltrmrca,2,positive
BMKG: Kebumen Masuk Zona Potensi Gempa Megathrust Skala 8 7 dan Tsunami Setinggi 18 Meter https://t.co/Lq1IpaykCy,bmkg kebumen masuk zona potensi gempa megathrust skala tsunami setinggi meter tcolqipaykcy,bmkg kebumen masuk zona potensi gempa megathrust skala tsunami setinggi meter tcolqipaykcy,"['bmkg', 'kebumen', 'masuk', 'zona', 'potensi', 'gempa', 'megathrust', 'skala', 'tsunami', 'setinggi', 'meter', 'tcolqipaykcy']","['bmkg', 'kebumen', 'masuk', 'zona', 'potensi', 'gempa', 'megathrust', 'skala', 'tsunami', 'meter', 'tcolqipaykcy']",bmkg kebumen masuk zona potensi skala meter tcolqipaykcy,4,positive
BMKG Ingatkan Megathrust-Tsunami 18 Meter Intai Selatan Jawa https://t.co/wkZtulIuNc,bmkg ingatkan megathrusttsunami meter intai selatan jawa tcowkztuliunc,bmkg ingatkan megathrusttsunami meter intai selatan jawa tcowkztuliunc,"['bmkg', 'ingatkan', 'megathrusttsunami', 'meter', 'intai', 'selatan', 'jawa', 'tcowkztuliunc']","['bmkg', 'ingatkan', 'megathrusttsunami', 'meter', 'intai', 'selatan', 'jawa', 'tcowkztuliunc']",bmkg ingat megathrusttsunami meter intai selatan tcowkztuliunc,2,positive
Dari tahun 2018 selalu aja dibahas potensi gempa tsunami Sunda megathrust tapi sampai sekarang ga ada tuh gempa yang bener bener gede,dari tahun  selalu dibahas potensi gempa tsunami sunda megathrust tapi sampai sekarang gempa yang bener bener gede,dari tahun selalu dibahas potensi gempa tsunami sunda megathrust tapi sampai sekarang gempa yang benar benar gede,"['dari', 'tahun', 'selalu', 'dibahas', 'potensi', 'gempa', 'tsunami', 'sunda', 'megathrust', 'tapi', 'sampai', 'sekarang', 'gempa', 'yang', 'benar', 'benar', 'gede']","['dibahas', 'potensi', 'gempa', 'tsunami', 'sunda', 'megathrust', 'gempa', 'gede']",bahas potensi sunda gede,15,positive
Pakar Beberkan Alasan Selatan Jawa Potensi Tsunami 34 Meter Akibat Adanya Megathrust https://t.co/WkXccK8n5m,pakar beberkan alasan selatan jawa potensi tsunami meter akibat adanya megathrust tcowkxccknm,pakar beberkan alasan selatan jawa potensi tsunami meter akibat adanya megathrust tcowkxccknm,"['pakar', 'beberkan', 'alasan', 'selatan', 'jawa', 'potensi', 'tsunami', 'meter', 'akibat', 'adanya', 'megathrust', 'tcowkxccknm']","['pakar', 'beberkan', 'alasan', 'selatan', 'jawa', 'potensi', 'tsunami', 'meter', 'akibat', 'megathrust', 'tcowkxccknm']",pakar kan alas selatan potensi meter akibat tcowkxccknm,3,positive
Gempa megathrus disebut menjadi ancaman besar di selatan Pulau Jawa yang bisa berakibat tsunami. Berikut 5 fakta megathrust. #portalyogya #Megathrust https://t.co/b0ZkGbaNws,gempa megathrus disebut menjadi ancaman besar selatan pulau jawa yang bisa berakibat tsunami berikut fakta megathrust portalyogya megathrust tcobzkgbanws,gempa megathrus disebut menjadi ancaman besar selatan pulau jawa yang bisa berakibat tsunami berikut fakta megathrust portalyogya megathrust tcobzkgbanws,"['gempa', 'megathrus', 'disebut', 'menjadi', 'ancaman', 'besar', 'selatan', 'pulau', 'jawa', 'yang', 'bisa', 'berakibat', 'tsunami', 'berikut', 'fakta', 'megathrust', 'portalyogya', 'megathrust', 'tcobzkgbanws']","['gempa', 'megathrus', 'ancaman', 'selatan', 'pulau', 'jawa', 'berakibat', 'tsunami', 'fakta', 'megathrust', 'portalyogya', 'megathrust', 'tcobzkgbanws']",megathrus ancam selatan pulau akibat fakta portalyogya tcobzkgbanws,-2,negative
BMKG Prediksi Tsunami di Selatan Jawa Efek Megathrust Kapan? https://t.co/ievltcsFhK,bmkg prediksi tsunami selatan jawa efek megathrust kapan tcoievltcsfhk,bmkg prediksi tsunami selatan jawa efek megathrust kapan tcoievltcsfhk,"['bmkg', 'prediksi', 'tsunami', 'selatan', 'jawa', 'efek', 'megathrust', 'kapan', 'tcoievltcsfhk']","['bmkg', 'prediksi', 'tsunami', 'selatan', 'jawa', 'efek', 'megathrust', 'tcoievltcsfhk']",bmkg prediksi selatan efek tcoievltcsfhk,6,positive
BMKG Hitung Waktu Tsunami Hantam Selatan Jawa Efek Megathrust https://t.co/jCcVtWpR6h,bmkg hitung waktu tsunami hantam selatan jawa efek megathrust tcojccvtwprh,bmkg hitung waktu tsunami hantam selatan jawa efek megathrust tcojccvtwprh,"['bmkg', 'hitung', 'waktu', 'tsunami', 'hantam', 'selatan', 'jawa', 'efek', 'megathrust', 'tcojccvtwprh']","['bmkg', 'hitung', 'tsunami', 'hantam', 'selatan', 'jawa', 'efek', 'megathrust', 'tcojccvtwprh']",bmkg hitung hantam selatan efek tcojccvtwprh,-1,negative
BMKG Hitung Waktu Tsunami Hantam Selatan Jawa Efek Megathrust https://t.co/6HLAC41pOz,bmkg hitung waktu tsunami hantam selatan jawa efek megathrust tcohlacpoz,bmkg hitung waktu tsunami hantam selatan jawa efek megathrust tcohlacpoz,"['bmkg', 'hitung', 'waktu', 'tsunami', 'hantam', 'selatan', 'jawa', 'efek', 'megathrust', 'tcohlacpoz']","['bmkg', 'hitung', 'tsunami', 'hantam', 'selatan', 'jawa', 'efek', 'megathrust', 'tcohlacpoz']",bmkg hitung hantam selatan efek tcohlacpoz,-1,negative
@DambaanA Ini berita lama soal potensi tsunami di selatan Cilacap bang ini tanahnya getar trus bang hampir setiap menit. Mengenal Megathrust Penyebab Potensi Gempa M 8 7 di Cilacap https://t.co/WtnihmjkXZ,dambaana berita lama soal potensi tsunami selatan cilacap bang tanahnya getar trus bang hampir setiap menit mengenal megathrust penyebab potensi gempa cilacap tcowtnihmjkxz,dambaana berita lama soal potensi tsunami selatan cilacap abang tanahnya getar terus abang hampir setiap menit mengenal megathrust penyebab potensi gempa cilacap tcowtnihmjkxz,"['dambaana', 'berita', 'lama', 'soal', 'potensi', 'tsunami', 'selatan', 'cilacap', 'abang', 'tanahnya', 'getar', 'terus', 'abang', 'hampir', 'setiap', 'menit', 'mengenal', 'megathrust', 'penyebab', 'potensi', 'gempa', 'cilacap', 'tcowtnihmjkxz']","['dambaana', 'berita', 'potensi', 'tsunami', 'selatan', 'cilacap', 'abang', 'tanahnya', 'getar', 'abang', 'menit', 'mengenal', 'megathrust', 'penyebab', 'potensi', 'gempa', 'cilacap', 'tcowtnihmjkxz']",dambaana berita potensi selatan cilacap abang tanah getar abang menit kenal sebab potensi cilacap tcowtnihmjkxz,13,positive
@infoBMKG tepat di zona megathrust ?@DaryonoBMKG,infobmkg tepat zona megathrust daryonobmkg,infobmkg tepat zona megathrust daryonobmkg,"['infobmkg', 'tepat', 'zona', 'megathrust', 'daryonobmkg']","['infobmkg', 'zona', 'megathrust', 'daryonobmkg']",infobmkg zona daryonobmkg,0,neutral
