Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
"sangat bagus,cepat dan lancar tanpa ngangguan...✌✌",sangat baguscepat lancar tanpa ngangguan,sangat baguscepat lancar tanpa ngangguan,"['sangat', 'baguscepat', 'lancar', 'tanpa', 'ngangguan']","['baguscepat', 'lancar', 'ngangguan']",baguscepat lancar ngangguan
"semua sudah bagus tpi saran untuk klo mau adain rekap tahunan, itu harus sertakan smua transaksi dalam 1 tahun itu, jangan cuma diksih tau beli internet nya doang itu pun di 1 bulan doang, sisanya malah diksih soal jawab😅",semua sudah bagus saran untuk adain rekap tahunan harus sertakan smua transaksi dalam tahun jangan cuma diksih beli internet doang bulan doang sisanya malah diksih soal jawab,semua sudah bagus saran untuk mengadakan rekap tahunan harus sertakan semua transaksi dalam tahun jangan cuma diksih beli internet doang bulan doang sisanya malah diksih soal jawab,"['semua', 'sudah', 'bagus', 'saran', 'untuk', 'mengadakan', 'rekap', 'tahunan', 'harus', 'sertakan', 'semua', 'transaksi', 'dalam', 'tahun', 'jangan', 'cuma', 'diksih', 'beli', 'internet', 'doang', 'bulan', 'doang', 'sisanya', 'malah', 'diksih', 'soal', 'jawab']","['bagus', 'saran', 'mengadakan', 'rekap', 'tahunan', 'sertakan', 'transaksi', 'diksih', 'beli', 'internet', 'doang', 'doang', 'sisanya', 'diksih']",bagus saran ada rekap tahun serta transaksi diksih beli internet doang doang sisa diksih
mantapp gopay dapat selalu dipercaya,mantapp gopay dapat selalu dipercaya,mantap gopay dapat selalu dipercaya,"['mantap', 'gopay', 'dapat', 'selalu', 'dipercaya']","['mantap', 'gopay', 'dipercaya']",mantap gopay percaya
"akun gopay saya rusak tidak bisa transaksi, gopay coins yang saya dapat dari gopay pet pun nggak masuk ke akun saya,saya sudah laporkan kan berkali kali.tapi akun saya tidak ada perubahan 👎👎👎👎👎👎👎👎👎👎👎👎👎👎",akun gopay saya rusak tidak bisa transaksi gopay coins yang saya dapat dari gopay nggak masuk akun sayasaya sudah laporkan berkali kalitapi akun saya tidak perubahan,akun gopay saya rusak tidak bisa transaksi gopay coins yang saya dapat dari gopay tidak masuk akun sayasaya sudah laporkan berkali kalitapi akun saya tidak perubahan,"['akun', 'gopay', 'saya', 'rusak', 'tidak', 'bisa', 'transaksi', 'gopay', 'coins', 'yang', 'saya', 'dapat', 'dari', 'gopay', 'tidak', 'masuk', 'akun', 'sayasaya', 'sudah', 'laporkan', 'berkali', 'kalitapi', 'akun', 'saya', 'tidak', 'perubahan']","['akun', 'gopay', 'rusak', 'transaksi', 'gopay', 'coins', 'gopay', 'masuk', 'akun', 'sayasaya', 'laporkan', 'berkali', 'kalitapi', 'akun', 'perubahan']",akun gopay rusak transaksi gopay coins gopay masuk akun sayasaya lapor kali kalitapi akun ubah
saya kasih bintang 5 tapi gopay later aktif kan dong,saya kasih bintang tapi gopay later aktif dong,saya kasih bintang tapi gopay later aktif dong,"['saya', 'kasih', 'bintang', 'tapi', 'gopay', 'later', 'aktif', 'dong']","['kasih', 'bintang', 'gopay', 'later', 'aktif']",kasih bintang gopay later aktif
kereeen...,kereeen,keren,['keren'],['keren'],keren
memudahkan segala urusan finansial,memudahkan segala urusan finansial,memudahkan segala urusan finansial,"['memudahkan', 'segala', 'urusan', 'finansial']","['memudahkan', 'urusan', 'finansial']",mudah urus finansial
tertarik,tertarik,tertarik,['tertarik'],['tertarik'],tarik
vermuk untuk gopay pinjam kenapa selalu gagal apalagi yg harus saya upayakan tolong di perbaiki lagi aplikasinya,vermuk untuk gopay pinjam kenapa selalu gagal apalagi harus saya upayakan tolong perbaiki lagi aplikasinya,vermuk untuk gopay pinjam kenapa selalu gagal apalagi harus saya upayakan tolong perbaiki lagi aplikasinya,"['vermuk', 'untuk', 'gopay', 'pinjam', 'kenapa', 'selalu', 'gagal', 'apalagi', 'harus', 'saya', 'upayakan', 'tolong', 'perbaiki', 'lagi', 'aplikasinya']","['vermuk', 'gopay', 'pinjam', 'gagal', 'upayakan', 'tolong', 'perbaiki', 'aplikasinya']",vermuk gopay pinjam gagal upaya tolong baik aplikasi
kereeeennnn,kereeeennnn,kereeeennnn,['kereeeennnn'],['kereeeennnn'],kereeeennnn
sangat puas mudah dan nyaman,sangat puas mudah nyaman,sangat puas mudah nyaman,"['sangat', 'puas', 'mudah', 'nyaman']","['puas', 'mudah', 'nyaman']",puas mudah nyaman
"bagus banget,walau utk pinjam an tidak di acc 😁",bagus bangetwalau pinjam tidak,bagus bangetwalau pinjam tidak,"['bagus', 'bangetwalau', 'pinjam', 'tidak']","['bagus', 'bangetwalau', 'pinjam']",bagus bangetwalau pinjam
apk kerennnn,kerennnn,keren,['keren'],['keren'],keren
"Alhamdulillah, layanan lancar",alhamdulillah layanan lancar,alhamdulillah layanan lancar,"['alhamdulillah', 'layanan', 'lancar']","['alhamdulillah', 'layanan', 'lancar']",alhamdulillah layan lancar
Dikasih bintang 4 bukan berarti penilaian nya jelek ini baru di coba pakai gopay kalo bagus ntr di kasih bintang penuh deh,dikasih bintang bukan berarti penilaian jelek baru coba pakai gopay kalo bagus kasih bintang penuh,dikasih bintang bukan berarti penilaian jelek baru coba pakai gopay kalau bagus kasih bintang penuh,"['dikasih', 'bintang', 'bukan', 'berarti', 'penilaian', 'jelek', 'baru', 'coba', 'pakai', 'gopay', 'kalau', 'bagus', 'kasih', 'bintang', 'penuh']","['dikasih', 'bintang', 'penilaian', 'jelek', 'coba', 'pakai', 'gopay', 'bagus', 'kasih', 'bintang', 'penuh']",kasih bintang nilai jelek coba pakai gopay bagus kasih bintang penuh
bagus praktis dan juga mudah,bagus praktis juga mudah,bagus praktis juga mudah,"['bagus', 'praktis', 'juga', 'mudah']","['bagus', 'praktis', 'mudah']",bagus praktis mudah
"aplikasi lain di libur nataru masih sanggup menyelesaikan transaksi tanpa pending, lah ini masih ada perpendingan. kok kalah sama kompetitor? padahal kompetitor juga banyak usernya. udah kirim uang malah pending, mana pemberitahuan keterlambatan baru ada pas udah gagal terkirim. tau gitu gak pakai ni aplikasi jelek.",aplikasi lain libur nataru masih sanggup menyelesaikan transaksi tanpa pending masih perpendingan kalah sama kompetitor padahal kompetitor juga banyak usernya udah kirim uang malah pending mana pemberitahuan keterlambatan baru udah gagal terkirim gitu pakai aplikasi jelek,aplikasi lain libur nataru masih sanggup menyelesaikan transaksi tanpa pending masih perpendingan kalah sama kompetitor padahal kompetitor juga banyak usernya sudah kirim uang malah pending mana pemberitahuan keterlambatan baru sudah gagal terkirim begitu pakai aplikasi jelek,"['aplikasi', 'lain', 'libur', 'nataru', 'masih', 'sanggup', 'menyelesaikan', 'transaksi', 'tanpa', 'pending', 'masih', 'perpendingan', 'kalah', 'sama', 'kompetitor', 'padahal', 'kompetitor', 'juga', 'banyak', 'usernya', 'sudah', 'kirim', 'uang', 'malah', 'pending', 'mana', 'pemberitahuan', 'keterlambatan', 'baru', 'sudah', 'gagal', 'terkirim', 'begitu', 'pakai', 'aplikasi', 'jelek']","['aplikasi', 'libur', 'nataru', 'sanggup', 'menyelesaikan', 'transaksi', 'pending', 'perpendingan', 'kalah', 'kompetitor', 'kompetitor', 'usernya', 'kirim', 'uang', 'pending', 'pemberitahuan', 'keterlambatan', 'gagal', 'terkirim', 'pakai', 'aplikasi', 'jelek']",aplikasi libur nataru sanggup selesai transaksi pending pending kalah kompetitor kompetitor usernya kirim uang pending pemberitahuan lambat gagal kirim pakai aplikasi jelek
"mines untuk ganti nomor yang hilang,malah di persulit ini malah di puter puter saldo lagi saldo lagi,tau sudah hilang sama handphone handphone nya di bahas lagi ada verifikasi wajah sama KTP,buat apa coba pakai DANA TINGGAL VERIFIKASI ALIH KAN AKUN LAMA KE YANG BARU MUDAH DAN TIDAK SULIT UNTUK GOPAY MALAH MUTER MUTER NOMOR HILANG HARUS GIMANA COBA RESPON JUGA KURANG",mines untuk ganti nomor yang hilangmalah persulit malah puter puter saldo lagi saldo lagitau sudah hilang sama handphone handphone bahas lagi verifikasi wajah sama ktpbuat coba pakai dana tinggal verifikasi alih akun lama yang baru mudah tidak sulit untuk gopay malah muter muter nomor hilang harus gimana coba respon juga kurang,mines untuk ganti nomor yang hilangmalah persulit malah puter puter saldo lagi saldo lagitau sudah hilang sama handphone handphone bahas lagi verifikasi wajah sama ktpbuat coba pakai dana tinggal verifikasi alih akun lama yang baru mudah tidak sulit untuk gopay malah muter muter nomor hilang harus bagaimana coba respon juga kurang,"['mines', 'untuk', 'ganti', 'nomor', 'yang', 'hilangmalah', 'persulit', 'malah', 'puter', 'puter', 'saldo', 'lagi', 'saldo', 'lagitau', 'sudah', 'hilang', 'sama', 'handphone', 'handphone', 'bahas', 'lagi', 'verifikasi', 'wajah', 'sama', 'ktpbuat', 'coba', 'pakai', 'dana', 'tinggal', 'verifikasi', 'alih', 'akun', 'lama', 'yang', 'baru', 'mudah', 'tidak', 'sulit', 'untuk', 'gopay', 'malah', 'muter', 'muter', 'nomor', 'hilang', 'harus', 'bagaimana', 'coba', 'respon', 'juga', 'kurang']","['mines', 'ganti', 'nomor', 'hilangmalah', 'persulit', 'puter', 'puter', 'saldo', 'saldo', 'lagitau', 'hilang', 'handphone', 'handphone', 'bahas', 'verifikasi', 'wajah', 'ktpbuat', 'coba', 'pakai', 'dana', 'tinggal', 'verifikasi', 'alih', 'akun', 'mudah', 'sulit', 'gopay', 'muter', 'muter', 'nomor', 'hilang', 'coba', 'respon']",mes ganti nomor hilangmalah sulit puter puter saldo saldo lagitau hilang handphone handphone bahas verifikasi wajah ktpbuat coba pakai dana tinggal verifikasi alih akun mudah sulit gopay muter muter nomor hilang coba respon
"saya transfer ko gak nyampe nyampe ke bank tujuan, kenapa yah?",saya transfer nyampe nyampe bank tujuan kenapa,saya transfer sampai sampai bank tujuan kenapa,"['saya', 'transfer', 'sampai', 'sampai', 'bank', 'tujuan', 'kenapa']","['transfer', 'bank', 'tujuan']",transfer bank tuju
gopay kenapa ya suka tbtb ganggu lagi transfer ada notif gangguan teknis padahal udh masuk pin terus saldonya udh kepotong notifnya belakangan bikin org jd transfer double tau ga kalau gtu caranya,gopay kenapa suka tbtb ganggu lagi transfer notif gangguan teknis padahal masuk terus saldonya kepotong notifnya belakangan bikin transfer double kalau caranya,gopay kenapa suka tbtb ganggu lagi transfer notif gangguan teknis padahal masuk terus saldonya kepotong notifnya belakangan bikin transfer double kalau caranya,"['gopay', 'kenapa', 'suka', 'tbtb', 'ganggu', 'lagi', 'transfer', 'notif', 'gangguan', 'teknis', 'padahal', 'masuk', 'terus', 'saldonya', 'kepotong', 'notifnya', 'belakangan', 'bikin', 'transfer', 'double', 'kalau', 'caranya']","['gopay', 'suka', 'tbtb', 'ganggu', 'transfer', 'notif', 'gangguan', 'teknis', 'masuk', 'saldonya', 'kepotong', 'notifnya', 'bikin', 'transfer', 'double']",gopay suka tbtb ganggu transfer notif ganggu teknis masuk saldo potong notifnya bikin transfer double
cukup bagus,cukup bagus,cukup bagus,"['cukup', 'bagus']",['bagus'],bagus
"udh bayar hutang sekaligus biar lunas terus minjem lagi gk dikasih, awas hati-hati wkwkwkwk",bayar hutang sekaligus biar lunas terus minjem lagi dikasih awas hatihati wkwkwkwk,bayar hutang sekaligus biar lunas terus minjem lagi dikasih awas hatihati wkwkwkwk,"['bayar', 'hutang', 'sekaligus', 'biar', 'lunas', 'terus', 'minjem', 'lagi', 'dikasih', 'awas', 'hatihati', 'wkwkwkwk']","['bayar', 'hutang', 'biar', 'lunas', 'minjem', 'dikasih', 'awas', 'hatihati', 'wkwkwkwk']",bayar hutang biar lunas minjem kasih awas hatihati wkwkwkwk
"beli pulsa tapi nungguin dari semalam gak ada yg masuk, penyelesaian masalahnya juga gak ada yg bisa di pahami, cuman disuruh sabar dan di mengerti, sampai kapan saya nunggu. buruk banget nih apk",beli pulsa tapi nungguin dari semalam masuk penyelesaian masalahnya juga bisa pahami cuman disuruh sabar mengerti sampai kapan saya nunggu buruk banget,beli pulsa tapi menunggu dari semalam masuk penyelesaian masalahnya juga bisa pahami cuman disuruh sabar mengerti sampai kapan saya menunggu buruk banget,"['beli', 'pulsa', 'tapi', 'menunggu', 'dari', 'semalam', 'masuk', 'penyelesaian', 'masalahnya', 'juga', 'bisa', 'pahami', 'cuman', 'disuruh', 'sabar', 'mengerti', 'sampai', 'kapan', 'saya', 'menunggu', 'buruk', 'banget']","['beli', 'pulsa', 'menunggu', 'semalam', 'masuk', 'penyelesaian', 'pahami', 'cuman', 'disuruh', 'sabar', 'mengerti', 'menunggu', 'buruk', 'banget']",beli pulsa tunggu malam masuk selesai paham cuman suruh sabar erti tunggu buruk banget
kenapa pinjaman habis 2 kali di setujui ke 3kali suda di tolak ane,kenapa pinjaman habis kali setujui kali suda tolak,kenapa pinjaman habis kali setujui kali sudah tolak,"['kenapa', 'pinjaman', 'habis', 'kali', 'setujui', 'kali', 'sudah', 'tolak']","['pinjaman', 'habis', 'kali', 'setujui', 'kali', 'tolak']",pinjam habis kali tuju kali tolak
pendapat yg terpercaya,pendapat terpercaya,pendapat terpercaya,"['pendapat', 'terpercaya']","['pendapat', 'terpercaya']",dapat percaya
aplikasi bagus cepat bermanfaat,aplikasi bagus cepat bermanfaat,aplikasi bagus cepat bermanfaat,"['aplikasi', 'bagus', 'cepat', 'bermanfaat']","['aplikasi', 'bagus', 'cepat', 'bermanfaat']",aplikasi bagus cepat manfaat
bagus dan sangat membantu,bagus sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']","['bagus', 'membantu']",bagus bantu
GG BETOLLLL SUKAKKK KEBANTU BGT BUAT NGITUNG SPLIT BILL SAMA TEMENN 💗💗💗,betollll sukakkk kebantu buat ngitung split bill sama temenn,betollll suka kebantu buat ngitung split bill sama teman,"['betollll', 'suka', 'kebantu', 'buat', 'ngitung', 'split', 'bill', 'sama', 'teman']","['betollll', 'suka', 'kebantu', 'ngitung', 'split', 'bill', 'teman']",betollll suka bantu ngitung split bill teman
surantab,surantab,surantab,['surantab'],['surantab'],surantab
bagus buat top up diamond ff sama robux buat main fish it,bagus buat diamond sama robux buat main fish,bagus buat diamond sama robux buat main fish,"['bagus', 'buat', 'diamond', 'sama', 'robux', 'buat', 'main', 'fish']","['bagus', 'diamond', 'robux', 'main', 'fish']",bagus diamond robux main fish
"baru pertama menggunakan app imi,semoga aman² saja saldonya",baru pertama menggunakan imisemoga aman saja saldonya,baru pertama menggunakan imisemoga aman saja saldonya,"['baru', 'pertama', 'menggunakan', 'imisemoga', 'aman', 'saja', 'saldonya']","['imisemoga', 'aman', 'saldonya']",imisemoga aman saldo
"gopaylater tidak dapat digunakan alasan ya ada tagihan yang belum dibayar,padahal gopaylaternya gak pernah dipake apalah gak jelas banget gopay",gopaylater tidak dapat digunakan alasan tagihan yang belum dibayarpadahal gopaylaternya pernah dipake apalah jelas banget gopay,gopaylater tidak dapat digunakan alasan tagihan yang belum dibayarpadahal gopaylaternya pernah dipakai apalah jelas banget gopay,"['gopaylater', 'tidak', 'dapat', 'digunakan', 'alasan', 'tagihan', 'yang', 'belum', 'dibayarpadahal', 'gopaylaternya', 'pernah', 'dipakai', 'apalah', 'jelas', 'banget', 'gopay']","['gopaylater', 'alasan', 'tagihan', 'dibayarpadahal', 'gopaylaternya', 'dipakai', 'apalah', 'banget', 'gopay']",gopaylater alas tagih dibayarpadahal gopaylaternya pakai apa banget gopay
"bagus aku suka apk gopay,,,",bagus suka gopay,bagus suka gopay,"['bagus', 'suka', 'gopay']","['bagus', 'suka', 'gopay']",bagus suka gopay
"kenapa skrg tdk bisa di TF langsung dr bank manapun,lewat alfamart dan indomaret pun tdk bisa..kenapa gopay makin kesini makin hancur.makin jelek..apa lg setiap transaksi selalu gagal,nyesal sy perbarui aplikasix..padahal minggu lalu baik"" sj..tdk lama banyak yg hapus aplikasi ini..parah",kenapa skrg bisa langsung bank manapunlewat alfamart indomaret bisakenapa gopay makin kesini makin hancurmakin jelekapa setiap transaksi selalu gagalnyesal perbarui aplikasixpadahal minggu lalu baik sjtdk lama banyak hapus aplikasi iniparah,kenapa sekarang bisa langsung bank manapunlewat alfamart indomaret bisakenapa gopay makin kesini makin hancurmakin jelekapa setiap transaksi selalu gagalnyesal perbarui aplikasixpadahal minggu lalu baik sjtdk lama banyak hapus aplikasi iniparah,"['kenapa', 'sekarang', 'bisa', 'langsung', 'bank', 'manapunlewat', 'alfamart', 'indomaret', 'bisakenapa', 'gopay', 'makin', 'kesini', 'makin', 'hancurmakin', 'jelekapa', 'setiap', 'transaksi', 'selalu', 'gagalnyesal', 'perbarui', 'aplikasixpadahal', 'minggu', 'lalu', 'baik', 'sjtdk', 'lama', 'banyak', 'hapus', 'aplikasi', 'iniparah']","['langsung', 'bank', 'manapunlewat', 'alfamart', 'indomaret', 'bisakenapa', 'gopay', 'kesini', 'hancurmakin', 'jelekapa', 'transaksi', 'gagalnyesal', 'perbarui', 'aplikasixpadahal', 'minggu', 'sjtdk', 'hapus', 'aplikasi', 'iniparah']",langsung bank manapunlewat alfamart indomaret bisakenapa gopay kesini hancurmakin jelekapa transaksi gagalnyesal baru aplikasixpadahal minggu sjtdk hapus aplikasi iniparah
"Aplikasi Gopay sangat membantu saya dalam membeli barang* fitur"" nya sangat baik dan mudah di pahami",aplikasi gopay sangat membantu saya dalam membeli barang fitur sangat baik mudah pahami,aplikasi gopay sangat membantu saya dalam membeli barang fitur sangat baik mudah pahami,"['aplikasi', 'gopay', 'sangat', 'membantu', 'saya', 'dalam', 'membeli', 'barang', 'fitur', 'sangat', 'baik', 'mudah', 'pahami']","['aplikasi', 'gopay', 'membantu', 'membeli', 'barang', 'fitur', 'mudah', 'pahami']",aplikasi gopay bantu beli barang fitur mudah paham
aplikasi penipuuu udahlah katanya dapat cashback 16rb ternyata GK masuk setelah aku coba pake voucher nya pas bisa 1 malah muter muter GK jelas GK niat bnget buat berbagi ngntddddd laj,aplikasi penipuuu udahlah katanya dapat cashback rb ternyata masuk setelah coba pake voucher bisa malah muter muter jelas niat bnget buat berbagi ngntddddd,aplikasi penipuuu sudahlah katanya dapat cashback ribu ternyata masuk setelah coba pakai voucher bisa malah muter muter jelas niat banget buat berbagi ngntddddd,"['aplikasi', 'penipuuu', 'sudahlah', 'katanya', 'dapat', 'cashback', 'ribu', 'ternyata', 'masuk', 'setelah', 'coba', 'pakai', 'voucher', 'bisa', 'malah', 'muter', 'muter', 'jelas', 'niat', 'banget', 'buat', 'berbagi', 'ngntddddd']","['aplikasi', 'penipuuu', 'cashback', 'ribu', 'masuk', 'coba', 'pakai', 'voucher', 'muter', 'muter', 'niat', 'banget', 'berbagi', 'ngntddddd']",aplikasi penipuuu cashback ribu masuk coba pakai voucher muter muter niat banget bagi ngntddddd
"saya selalu tidak bisa memakai voucher, dibilang nya ""kuota voucher sudah habis"" padahal masih jam 16:00 (sesuai persyaratan itu 15:00, 15:30, 16:00, saya sudah mencoba dari 3 waktu itu dan gagal semua padahl sudah tepat waktu dan sinyal saya bagus, dan saya mencoba lagi pada 17:00, berhasil terpakai, harga 1rp, tetapi ketika saya pencet lanjut, loading nya sangat lama sekali sampai², dan lalu bilang nya error, dan akhirnya tidak bisa di pakai karna sudah 17:01, buang² waktu saja",saya selalu tidak bisa memakai voucher dibilang kuota voucher sudah habis padahal masih  sesuai persyaratan    saya sudah mencoba dari waktu gagal semua padahl sudah tepat waktu sinyal saya bagus saya mencoba lagi pada  berhasil terpakai harga tetapi ketika saya pencet lanjut loading sangat lama sekali sampai lalu bilang error akhirnya tidak bisa pakai karna sudah  buang waktu saja,saya selalu tidak bisa memakai voucher dibilang kuota voucher sudah habis padahal masih sesuai persyaratan saya sudah mencoba dari waktu gagal semua padahal sudah tepat waktu sinyal saya bagus saya mencoba lagi pada berhasil terpakai harga tetapi ketika saya pencet lanjut loading sangat lama sekali sampai lalu bilang error akhirnya tidak bisa pakai karena sudah buang waktu saja,"['saya', 'selalu', 'tidak', 'bisa', 'memakai', 'voucher', 'dibilang', 'kuota', 'voucher', 'sudah', 'habis', 'padahal', 'masih', 'sesuai', 'persyaratan', 'saya', 'sudah', 'mencoba', 'dari', 'waktu', 'gagal', 'semua', 'padahal', 'sudah', 'tepat', 'waktu', 'sinyal', 'saya', 'bagus', 'saya', 'mencoba', 'lagi', 'pada', 'berhasil', 'terpakai', 'harga', 'tetapi', 'ketika', 'saya', 'pencet', 'lanjut', 'loading', 'sangat', 'lama', 'sekali', 'sampai', 'lalu', 'bilang', 'error', 'akhirnya', 'tidak', 'bisa', 'pakai', 'karena', 'sudah', 'buang', 'waktu', 'saja']","['memakai', 'voucher', 'dibilang', 'kuota', 'voucher', 'habis', 'sesuai', 'persyaratan', 'mencoba', 'gagal', 'sinyal', 'bagus', 'mencoba', 'berhasil', 'terpakai', 'harga', 'pencet', 'loading', 'bilang', 'error', 'pakai', 'buang']",pakai voucher bilang kuota voucher habis sesuai syarat coba gagal sinyal bagus coba hasil pakai harga pencet loading bilang error pakai buang
yeu nyusahin,nyusahin,menyusahkan,['menyusahkan'],['menyusahkan'],susah
pelayanan maksimal,pelayanan maksimal,pelayanan maksimal,"['pelayanan', 'maksimal']","['pelayanan', 'maksimal']",layan maksimal
bagus sekali gopay,bagus sekali gopay,bagus sekali gopay,"['bagus', 'sekali', 'gopay']","['bagus', 'gopay']",bagus gopay
"aku beri bintang 5 klw bagus aku pertahankan,tapi klw jelek aku hapus appsnya",beri bintang bagus pertahankantapi jelek hapus appsnya,beri bintang bagus pertahankantapi jelek hapus appsnya,"['beri', 'bintang', 'bagus', 'pertahankantapi', 'jelek', 'hapus', 'appsnya']","['bintang', 'bagus', 'pertahankantapi', 'jelek', 'hapus', 'appsnya']",bintang bagus pertahankantapi jelek hapus appsnya
iklan didrma cina,iklan didrma cina,iklan didrma cina,"['iklan', 'didrma', 'cina']","['iklan', 'didrma', 'cina']",iklan didrma cina
bagus apk ini,bagus,bagus,['bagus'],['bagus'],bagus
"aplikasi sudah bagus, tapi sangat merugikan saya dompet tiba"" terkunci, saldo dibekukan.sudah berbagai cara dilakukan tetap saja gak ada yang membantu mengatasi masalah. suruh telpon cs yang ada tambah rugi buang buang waktu dan pulsa, suruh via email juga sama cuma jawaban yang gak membantu... saya sangat dirugikan balikin uang saya.perbaiki bug dan bantu customer dengan baik..masalah saya belum selesai sampai 5 bulan ini..bukakan saldo saya yang dibekukan...jangan cuma hanya muter"" gak jelas",aplikasi sudah bagus tapi sangat merugikan saya dompet tiba terkunci saldo dibekukansudah berbagai cara dilakukan tetap saja yang membantu mengatasi masalah suruh telpon yang tambah rugi buang buang waktu pulsa suruh email juga sama cuma jawaban yang membantu saya sangat dirugikan balikin uang sayaperbaiki bantu customer dengan baikmasalah saya belum selesai sampai bulan inibukakan saldo saya yang dibekukanjangan cuma hanya muter jelas,aplikasi sudah bagus tapi sangat merugikan saya dompet tiba terkunci saldo dibekukansudah berbagai cara dilakukan tetap saja yang membantu mengatasi masalah suruh telpon yang tambah rugi buang buang waktu pulsa suruh email juga sama cuma jawaban yang membantu saya sangat dirugikan balikin uang sayaperbaiki bantu customer dengan baikmasalah saya belum selesai sampai bulan inibukakan saldo saya yang dibekukanjangan cuma hanya muter jelas,"['aplikasi', 'sudah', 'bagus', 'tapi', 'sangat', 'merugikan', 'saya', 'dompet', 'tiba', 'terkunci', 'saldo', 'dibekukansudah', 'berbagai', 'cara', 'dilakukan', 'tetap', 'saja', 'yang', 'membantu', 'mengatasi', 'masalah', 'suruh', 'telpon', 'yang', 'tambah', 'rugi', 'buang', 'buang', 'waktu', 'pulsa', 'suruh', 'email', 'juga', 'sama', 'cuma', 'jawaban', 'yang', 'membantu', 'saya', 'sangat', 'dirugikan', 'balikin', 'uang', 'sayaperbaiki', 'bantu', 'customer', 'dengan', 'baikmasalah', 'saya', 'belum', 'selesai', 'sampai', 'bulan', 'inibukakan', 'saldo', 'saya', 'yang', 'dibekukanjangan', 'cuma', 'hanya', 'muter', 'jelas']","['aplikasi', 'bagus', 'merugikan', 'dompet', 'terkunci', 'saldo', 'dibekukansudah', 'membantu', 'mengatasi', 'suruh', 'telpon', 'rugi', 'buang', 'buang', 'pulsa', 'suruh', 'email', 'membantu', 'dirugikan', 'balikin', 'uang', 'sayaperbaiki', 'bantu', 'customer', 'baikmasalah', 'selesai', 'inibukakan', 'saldo', 'dibekukanjangan', 'muter']",aplikasi bagus rugi dompet kunci saldo dibekukansudah bantu atas suruh telpon rugi buang buang pulsa suruh email bantu rugi balikin uang sayaperbaiki bantu customer baikmasalah selesai inibukakan saldo dibekukanjangan muter
berguna bnget,berguna bnget,berguna banget,"['berguna', 'banget']","['berguna', 'banget']",guna banget
transaksi cepat dan nyaman,transaksi cepat nyaman,transaksi cepat nyaman,"['transaksi', 'cepat', 'nyaman']","['transaksi', 'cepat', 'nyaman']",transaksi cepat nyaman
enak dan praktis,enak praktis,enak praktis,"['enak', 'praktis']","['enak', 'praktis']",enak praktis
Tidak bisa di gunakan untuk transaksi!!,tidak bisa gunakan untuk transaksi,tidak bisa gunakan untuk transaksi,"['tidak', 'bisa', 'gunakan', 'untuk', 'transaksi']",['transaksi'],transaksi
insyaallah amanah,insyaallah amanah,insyaallah amanah,"['insyaallah', 'amanah']","['insyaallah', 'amanah']",insyaallah amanah
"ewallet sangat rekomend,bagus apk nya,banyak fitur yg membantu kemudahan transaksi,dan sistemnya berjalan dg baik,TPI di akun saya kok fitur gopay leter belum muncul,itu saja selebihnya bagus.",ewallet sangat rekomendbagus nyabanyak fitur membantu kemudahan transaksidan sistemnya berjalan baiktpi akun saya fitur gopay leter belum munculitu saja selebihnya bagus,ewallet sangat rekomendbagus nyabanyak fitur membantu kemudahan transaksidan sistemnya berjalan baiktpi akun saya fitur gopay leter belum munculitu saja selebihnya bagus,"['ewallet', 'sangat', 'rekomendbagus', 'nyabanyak', 'fitur', 'membantu', 'kemudahan', 'transaksidan', 'sistemnya', 'berjalan', 'baiktpi', 'akun', 'saya', 'fitur', 'gopay', 'leter', 'belum', 'munculitu', 'saja', 'selebihnya', 'bagus']","['ewallet', 'rekomendbagus', 'nyabanyak', 'fitur', 'membantu', 'kemudahan', 'transaksidan', 'sistemnya', 'berjalan', 'baiktpi', 'akun', 'fitur', 'gopay', 'leter', 'munculitu', 'selebihnya', 'bagus']",ewallet rekomendbagus nyabanyak fitur bantu mudah transaksidan sistem jalan baiktpi akun fitur gopay leter munculitu lebih bagus
"aplikasinya bagus untuk top up, dan transfer, transfernya juga cepat, keren",aplikasinya bagus untuk transfer transfernya juga cepat keren,aplikasinya bagus untuk transfer transfernya juga cepat keren,"['aplikasinya', 'bagus', 'untuk', 'transfer', 'transfernya', 'juga', 'cepat', 'keren']","['aplikasinya', 'bagus', 'transfer', 'transfernya', 'cepat', 'keren']",aplikasi bagus transfer transfer cepat keren
betar dlu aku kish bitang 1 dlu,betar kish bitang,betar kish bitang,"['betar', 'kish', 'bitang']","['betar', 'kish', 'bitang']",betar kish bitang
Good Gopay,good gopay,good gopay,"['good', 'gopay']","['good', 'gopay']",good gopay
sat set tanpa ribet deh,tanpa ribet,tanpa ribet,"['tanpa', 'ribet']",['ribet'],ribet
sangat baik dalam mengatasi transaksi,sangat baik dalam mengatasi transaksi,sangat baik dalam mengatasi transaksi,"['sangat', 'baik', 'dalam', 'mengatasi', 'transaksi']","['mengatasi', 'transaksi']",atas transaksi
min gimana caranya beli paket data tanpa harus ada tulisan erorr,gimana caranya beli paket data tanpa harus tulisan erorr,bagaimana caranya beli paket data tanpa harus tulisan erorr,"['bagaimana', 'caranya', 'beli', 'paket', 'data', 'tanpa', 'harus', 'tulisan', 'erorr']","['beli', 'paket', 'data', 'tulisan', 'erorr']",beli paket data tulis erorr
